event,combo,n,events,episodes,lift,placebo,mean_ex,med_ex,p_beat,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
120,mom126↑&mom63↑&beta60↑,26081,1719,114,2.6643204945550134,1.0554986950505898,0.004566035938028816,-0.13590475857853468,0.3620643380238488,0.3094589931367662,,1.5496009249691958,2.876362841183411,2.7303060271909554
120,mom126↑&mom63↑&days_since_high↓,44958,2212,150,1.9889000907924939,1.0546924984175385,-0.0661483775085275,-0.1665114989269404,0.34358734819164555,0.35604341830152586,,1.6089638491285858,1.8642016272029323,2.387108570638707
120,mom126↑&mom63↑&amt20↑,45850,2228,110,1.9643129257086795,1.0094875672964265,-0.0808843563723326,-0.19370793921628165,0.3093784078516903,0.367742639040349,,1.6959799786893701,2.00225450627281,1.9616970594748702
120,mom126↑&beta60↑&days_since_high↓,13711,1011,84,2.980690289160433,1.076114693910542,0.046330479812380705,-0.10173403320278518,0.4040551382101962,0.29013201079425277,,1.363518288761388,3.0130610487849574,3.2875702144149765
120,mom126↑&beta60↑&amt20↑,23866,1645,82,2.786256495421496,0.9976322649259947,0.031167705872101922,-0.11319410058541546,0.3813793681387748,0.2837090421520154,,1.8310948214173155,3.279093412361384,2.372868087853246
120,mom126↑&days_since_high↓&amt20↑,28163,1544,88,2.2161706999528956,1.0277061017916278,-0.057427647200727426,-0.17309920613430818,0.34673152718105316,0.36054397613890565,,2.1287110912272236,2.001186215221541,2.47832900863859
120,sma120gap↑&rs63↑&mom63↑,122856,4933,261,1.623116049594253,1.0262515626767637,-0.0834786377795177,-0.17695936448116073,0.30818193657615417,0.3399752555837729,1.816342076357787,1.4232025940332456,1.6066526373962349,1.7958890845821012
120,sma120gap↑&rs63↑&beta60↑,32240,1990,129,2.4951282377657984,1.0707736256542673,-0.0011220053999978878,-0.14502969758514578,0.35573821339950373,0.3129962779156328,2.7762443762050983,1.4871348351404838,2.622380721726143,2.465540112655401
120,sma120gap↑&rs63↑&days_since_high↓,52076,2553,164,1.981746155757265,1.058018022051372,-0.06056007278469326,-0.1623514847420907,0.3424610185114064,0.3473961133727629,2.907405527836836,1.4860980701135276,1.8952375886535948,2.192167155009057
120,sma120gap↑&rs63↑&amt20↑,57674,2599,127,1.8216336255966408,1.0001812942387096,-0.0798061450498149,-0.19122939759131474,0.30162638277213305,0.3572320282969796,2.7732035828029025,1.5248489976262662,1.848433301048599,1.785415628093777
120,sma120gap↑&mom63↑&beta60↑,32564,2012,129,2.49761249410925,1.0737747551712233,-0.006021110484507943,-0.1491750117752641,0.35250583466404617,0.3178356467264464,2.48646802717359,1.512477843497849,2.605102526258716,2.5747101943998487
