f,date,tercile,ex120,ex60
upvol20,20240417,0,0.002093250249424798,0.02299709455971009
upvol20,20240417,1,-0.022569860474770557,0.028597088169148487
upvol20,20240417,2,-0.08189645979473646,-0.039426987447841566
upvol20,20240424,0,0.04516964590136325,0.09758997394914279
upvol20,20240424,1,-0.004737022219672305,0.043310495532518895
upvol20,20240424,2,-0.07111994334766421,-0.005021694393189457
upvol20,20240502,0,0.046627187659466676,0.08035120595784663
upvol20,20240502,1,-0.007803008947192315,-0.0038821040345009715
upvol20,20240502,2,-0.05361772112151754,0.028908471056678944
upvol20,20240510,0,0.003685399515168941,0.03454704890728394
upvol20,20240510,1,-0.09845702436904494,-0.051442877437171276
upvol20,20240510,2,-0.04892888279230515,-0.05848816362798401
upvol20,20240520,0,-0.030528923891126353,0.00041563196127412477
upvol20,20240520,1,-0.09644873130360233,-0.09896661668843294
upvol20,20240520,2,-0.019732042910657274,-0.0394213281723019
upvol20,20240527,0,0.0452240027272092,0.014466386236431664
upvol20,20240527,1,-0.08006468491613869,-0.11670345288335542
upvol20,20240527,2,-0.07461958383191838,-0.07362060724139455
upvol20,20240603,0,-0.03507065365833241,-0.03292271326089233
upvol20,20240603,1,-0.04393701502008408,-0.09758730967890418
upvol20,20240603,2,-0.04048214197462586,-0.04328167783409789
upvol20,20240611,0,-0.046358130122352806,-0.02932699776151132
upvol20,20240611,1,-0.031090064907782006,-0.08982682918651425
upvol20,20240611,2,-0.14322290516208905,-0.08790710441192692
upvol20,20240618,0,-0.03479600605517695,-0.005701283043002278
upvol20,20240618,1,-0.10322449981332536,-0.10780484473408157
upvol20,20240618,2,-0.0855146224829989,-0.07392355355319277
upvol20,20240625,0,-0.03847075372781099,-0.05364938066986728
upvol20,20240625,1,-0.035536213008895125,-0.058674280734349306
upvol20,20240625,2,-0.11762768970234751,-0.10694594888061613
upvol20,20240702,0,0.056482296786144984,0.019864966822095896
upvol20,20240702,1,0.08137155239721378,0.01919383239476129
upvol20,20240702,2,-0.08094232236268165,-0.033001758976070855
upvol20,20240709,0,0.052844696407215695,0.10949639774022611
upvol20,20240709,1,0.08708937740934122,0.04930269177295308
upvol20,20240709,2,-0.052345901605733915,-0.041880481780470956
upvol20,20240716,0,0.04013710545257175,0.03480563062936737
upvol20,20240716,1,-0.016441966126656393,0.02796145649362114
upvol20,20240716,2,0.09443890963789654,0.08697541811477347
upvol20,20240723,0,0.033814483004004206,-0.01857798109392511
upvol20,20240723,1,0.09785562145011947,0.0706961198217084
upvol20,20240723,2,-0.012912030976754727,0.008161940405629453
upvol20,20240730,0,0.1361036119524661,0.04989527154864068
upvol20,20240730,1,0.057733885459991224,0.04776712436533031
upvol20,20240730,2,0.008789097315720825,0.008657807973595248
upvol20,20240806,0,0.16716339781098039,0.15751813887593227
upvol20,20240806,1,-0.0960651015124383,-0.05031945715581878
upvol20,20240806,2,-0.07672421650496557,-0.09538904664430466
upvol20,20240813,0,-0.027235090106517982,-0.00045429561127703356
upvol20,20240813,1,-0.0033295237923051156,0.005971184697617616
upvol20,20240813,2,-0.1969231944028198,-0.06581459405545172
upvol20,20240821,0,-0.042246525497892116,-0.010248906011619097
upvol20,20240821,1,-0.05608435586208555,-0.01103833102181997
upvol20,20240821,2,-0.07659556655167099,-0.057980286225754324
upvol20,20240828,0,0.021544140041188615,0.03569382461577089
upvol20,20240828,1,-0.01657094355291308,0.0037259885569145387
upvol20,20240828,2,0.013274200951741255,0.018146474351478654
upvol20,20240904,0,0.04413931898507546,0.005915975621601655
upvol20,20240904,1,-0.07476663932601754,0.02170767209537945
upvol20,20240904,2,0.02936088943816092,0.030986521870223514
upvol20,20241010,0,-0.032415231330445264,-0.10345197658625227
upvol20,20241010,1,-0.023408031811501508,-0.02022889570157137
upvol20,20241010,2,-0.08385041907898551,-0.10165143477658821
upvol20,20241017,0,0.032704170589494645,-0.008082542745845552
