h,factor,decile,n,mean_ex,med_ex,p_ex_gt50,p_ex_lt_m30,p_beat
250,bbw60,D10,66512,-0.2907367441131474,-0.34128559810079906,0.0925096223237912,0.5401130623045466,0.22502706278566273
250,vol_dry,D1,59808,-0.20789894124588904,-0.23805150263335723,0.08452046548956661,0.43460741037988226,0.25284242910647403
250,vol_dry,D10,60426,-0.3244419465654193,-0.2961203853223107,0.05931221659550524,0.4959620031112435,0.19743156919206964
250,vol_surge5,D1,66132,-0.24101538943436637,-0.24615069217143787,0.06524829129619548,0.43571947015060786,0.22323534748684448
250,vol_surge5,D10,66700,-0.27673521795761563,-0.276136086670784,0.07341829085457272,0.4740029985007496,0.22589205397301348
250,hl_range20,D1,70367,-0.29303075467185635,-0.16403718920442278,0.06076712095158242,0.37781914818025497,0.3233191694970654
250,hl_range20,D10,70702,-0.32209743972330684,-0.3675087266360402,0.07542926649882606,0.5679895901106051,0.1918050408757885
250,clv20,D1,70132,-0.235878528376148,-0.26537099925528773,0.07504420236126162,0.4593195688130953,0.22447670107796727
250,clv20,D10,70919,-0.2433851239043884,-0.20556548651193163,0.09227428474738787,0.4151355772078004,0.31497906061845204
250,upvol20,D1,70106,-0.22670761596033603,-0.21227384166346452,0.08313125838016718,0.41323139246284196,0.28252931275497106
250,upvol20,D10,70810,-0.24118546089353443,-0.24954387023571473,0.06894506425646095,0.4414489478887163,0.2259144188673916
250,amihud20,D1,69893,-0.12090829596191857,-0.19244643397117533,0.15250454265806304,0.4102413689496802,0.3597069806704534
250,amihud20,D10,70737,-0.23312962136803464,-0.24338527522080877,0.07072677665154022,0.43500572543364857,0.2435359147263808
250,logprice,D1,69747,-0.21363724873085269,-0.2098182671963682,0.07988874073436851,0.3967912598391329,0.268914792034066
250,logprice,D10,70614,-0.24247873376348236,-0.2664014358148367,0.11561446738607076,0.4737870677202821,0.31066077548361515
250,rs63,D1,62195,-0.27486257093720146,-0.29251251187105176,0.08936409679234665,0.49351234022027496,0.25207814132968887
250,rs63,D10,62716,-0.23282885050082083,-0.31757601753017917,0.11666879265259264,0.5174756043114994,0.25184960775559667
250,rs21,D1,69024,-0.255027423159378,-0.281488275580771,0.08646267964765879,0.4828030829856282,0.2426547287899861
250,rs21,D10,69677,-0.2330765350366377,-0.30942888759814813,0.1052427630351479,0.5103836273088681,0.23979218393444035
250,days_since_high,D1,28221,-0.34323818893526165,-0.358783454096262,0.11572942135289324,0.5439920626483824,0.26618475603274155
250,days_since_high,D10,28072,-0.32483802994492234,-0.3328714363992648,0.07445141065830721,0.5320247933884298,0.21687090339127957
250,beta60,D1,66210,-0.33948379480976426,-0.2859521840994734,0.06456728590847303,0.4883250264310527,0.24132306298142275
250,beta60,D10,66157,-0.16388457649505433,-0.269333855111885,0.11184001692942545,0.4664056713575283,0.2650966639962513
250,ipo_age,D1,43974,-0.23517727704745559,-0.35375128885425916,0.09744394414881521,0.5608541410833674,0.22488288534133807
