date,tercile,n,base_med,ex120,ex60,win
20250610,0,67,48.0,-0.22512566587686425,-0.027178085488860915,0.029850746268656716
20250610,1,68,153.0,-0.2159342451492276,-0.0411993430421286,0.0
20250610,2,66,305.5,-0.16317694958270418,-0.0903078606099354,0.030303030303030304
20250617,0,79,52.0,-0.26925270145320346,-0.08111784688281909,0.02531645569620253
20250617,1,80,154.0,-0.24410798257248167,-0.04208124974603557,0.0
20250617,2,78,307.0,-0.160345109341297,-0.08932200958523201,0.02564102564102564
20250624,0,78,50.0,-0.19073928740442161,-0.07513649009651552,0.02564102564102564
20250624,1,77,158.0,-0.22336807696615346,-0.08465966580944594,0.0
20250624,2,78,305.5,-0.20701522413779708,-0.13107916037363096,0.01282051282051282
20250701,0,71,51.0,-0.1802374895371056,-0.09271801894643662,0.04225352112676056
20250701,1,71,184.0,-0.19684307798972672,-0.09460507190882118,0.028169014084507043
20250701,2,72,301.5,-0.22076371139600637,-0.14553302275534163,0.013888888888888888
20250708,0,70,47.5,-0.23158765184391697,-0.10001212038825912,0.02857142857142857
20250708,1,70,154.5,-0.3339005462410506,-0.147321515878629,0.02857142857142857
20250708,2,71,297.0,-0.2929139599222209,-0.17354315377157167,0.014084507042253521
20250715,0,73,50.0,-0.26083766233626915,-0.1434698220665058,0.0410958904109589
20250715,1,71,201.0,-0.3133414440489725,-0.15606235344577624,0.04225352112676056
20250715,2,71,304.0,-0.4723570881343092,-0.24950317734096067,0.0
20250722,0,71,47.0,-0.300183477469202,-0.15331606570484682,0.028169014084507043
20250722,1,74,195.5,-0.30086549491040454,-0.15295402347574974,0.04054054054054054
20250722,2,68,299.5,-0.4691472919965107,-0.22958581881789816,0.0
20250729,0,44,42.5,-0.2636110903282664,-0.09461750407166632,0.0
20250729,1,43,132.0,-0.23511890910285263,-0.12924800448652354,0.06976744186046512
20250729,2,44,288.0,-0.25848189551939393,-0.11179003052632829,0.022727272727272728
20250805,0,26,39.0,-0.31753730252011386,-0.13994956255402055,0.0
20250805,1,26,101.0,-0.14707910264070717,-0.007515842246980264,0.07692307692307693
20250805,2,27,277.0,0.01442415195625326,0.08078052676191298,0.07407407407407407
20250812,0,30,33.5,-0.3212928471426222,-0.16055252509229453,0.06666666666666667
20250812,1,27,87.0,-0.06494968442008024,0.018191033326201752,0.07407407407407407
20250812,2,29,269.0,0.05768605573563517,0.16337302440383508,0.06896551724137931
20250820,0,29,32.0,-0.34316299848961723,-0.11138909948969224,0.06896551724137931
