combo,n,events,episodes,lift,mean_ex_idx,med_ex_idx,mean_ex_ew,p_beat_idx,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
mom252↑&mom12_1↑&bbw20↑,5675,250,42,2.089676044494687,-0.1282612517055936,-0.20378958918127088,0.0535458349883651,0.30555066079295157,0.3910132158590308,,2.830741011825501,1.6385254099520785,0.7748820094392449
mom252↑&mom12_1↑&amt20↑,11794,648,54,2.606265791427764,-0.03241163114741192,-0.09987270164898537,0.20936851407612211,0.381380362896388,0.2906562658979142,,2.7012669556100777,2.5031107592114723,0.8419241148836867
mom252↑&sma120gap↑&on60↑,1155,34,13,1.3963740009878782,-0.006853146714170728,-0.061748710698081966,0.11611858691215605,0.40865800865800866,0.23376623376623376,,0.6769024115725962,2.284862512141356,
mom252↑&sma120gap↑&beta60↑,933,74,15,3.762312775500723,0.07613473257355689,-0.11471293044979114,0.2540840937883925,0.3933547695605573,0.27438370846730975,,3.3904759557622994,3.4455297600929744,
mom252↑&sma120gap↑&bbw20↑,1131,72,24,3.0197758860496164,-0.06860337712625848,-0.20728850262009535,0.0808632672511092,0.3244916003536693,0.376657824933687,,2.2277761726390612,3.0887956182651664,
mom252↑&sma120gap↑&amt20↑,1992,96,22,2.286055239037561,0.02938377541175335,-0.06940117420157921,0.16830854997791594,0.40963855421686746,0.20532128514056225,,0.963010563010563,4.083600827734016,
mom252↑&on60↑&beta60↑,2949,119,29,1.9141545944365876,0.06428875427580015,-0.01279954706831199,0.22435180376078162,0.4866056290267887,0.21566632756866735,,1.570107281442593,2.280234942496513,1.2573205682006978
mom252↑&on60↑&bbw20↑,1806,131,25,3.440791613241334,-0.054210628649362595,-0.17258330966295543,0.12761561754759743,0.3599114064230343,0.37929125138427466,,5.653906644319868,2.365134930557327,0.0
mom252↑&on60↑&amt20↑,3109,177,29,2.70058198107919,0.06690178287807004,-0.04704656877431779,0.24261565057835327,0.4435509810228369,0.20617561917015118,,3.919249499786336,2.0326267939551417,0.8645377791264303
mom252↑&beta60↑&bbw20↑,2334,111,22,2.2559369020193927,-0.00013046893288923305,-0.10449656657997375,0.14706293449304772,0.4040274207369323,0.27249357326478146,,2.3485031794709212,2.180539033538219,1.2914700157320746
mom252↑&beta60↑&amt20↑,4371,265,29,2.875874226872063,0.059207417750883645,-0.05101258076686399,0.24822261226688758,0.4404026538549531,0.2152825440402654,,2.1864717101080737,3.6186025954998016,0.21392448113353388
mom252↑&bbw20↑&amt20↑,2971,145,27,2.3151022216271495,-0.06487484247097378,-0.15256666740536162,0.11009339034312032,0.35005048805116123,0.32177717940087514,,3.4472236674216874,1.6425861709297163,0.5943697231494208
mom12_1↑&sma120gap↑&on60↑,987,30,13,1.4418129547121397,-0.003050931585317916,-0.06403685650171576,0.11548626222998809,0.3981762917933131,0.22796352583586627,,0.3857834796782165,2.8757752307986033,
