h,rule,decile,n,win_lift,mean_ex_idx,med_ex_idx,p_beat_idx,mean_ex_ew,med_ex_ew,p_beat_ew,p_lt_m30
60,R4_고베타단독,10,94977,1.736390074454572,-0.017156957024494664,-0.09141008622704594,0.35776029986207186,0.06638767469638017,-0.02223075358854143,0.4615959653389768,0.1394442865114712
60,R5_mom12_1단독,1,62218,1.1177370519497738,-0.08041493873603053,-0.12369155599539117,0.30608505577164163,0.012161809913067987,-0.04603904673446246,0.4123404802468739,0.21151435275965155
60,R5_mom12_1단독,2,62495,0.8714010023055896,-0.06458393973795533,-0.09774523309588412,0.33481078486278903,0.04236963871210106,-0.0063539575089077704,0.48448675894071525,0.16022081766541324
60,R5_mom12_1단독,3,62502,0.8223631786572777,-0.06397340980991684,-0.0926515687401156,0.3324213625163995,0.049436304692220316,0.002867175991345672,0.506671786502832,0.15138715561102045
60,R5_mom12_1단독,4,62503,0.8098014453618201,-0.06244282842844052,-0.08883663046082224,0.33001615922435723,0.05795189041169578,0.010472444893437571,0.5270946994544262,0.1453850215189671
60,R5_mom12_1단독,5,62602,0.7358541668336994,-0.07118155963536014,-0.09287152772163715,0.3240471550429699,0.05368199047895307,0.009631144314156626,0.5255902367336507,0.15138493977828185
60,R5_mom12_1단독,6,62602,0.8507008727810702,-0.06683292125350082,-0.09247258302046923,0.32773713299894575,0.06128705744801797,0.009845125244161451,0.5270119165521868,0.15988307082840802
60,R5_mom12_1단독,7,62502,0.8842704779661674,-0.06460183782350569,-0.09287416494430506,0.32499760007679757,0.060767527393512405,0.0081433629317188,0.5206873380051839,0.15610700457585358
60,R5_mom12_1단독,8,62503,1.0913078362339816,-0.053897329715860975,-0.08751183948856878,0.3470073436475049,0.0723621255741507,0.017180359413118906,0.5382301649520823,0.1631761675439579
60,R5_mom12_1단독,9,62495,1.4687896875155664,-0.04172046282817915,-0.08628967771868745,0.3599487959036723,0.08185537528125562,0.014362235360676934,0.5270821665733258,0.1816305304424354
60,R5_mom12_1단독,10,62697,2.0003086609036487,-0.03185208705940856,-0.10628183812425596,0.3566996826004434,0.08217133491888293,-0.009307672956290536,0.4858924669441919,0.2153851061454296
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",1,51136,1.25618169547214,-0.04890982237713988,-0.09946283563465858,0.34208776595744683,0.024476622879559526,-0.03619701658331942,0.43227862953692114,0.17191411138923654
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",2,51481,0.7683622352387931,-0.05352316362197566,-0.08362365046521125,0.34639964258658534,0.02969062089522263,-0.010532840187579329,0.475651211126435,0.12666809114042074
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",3,51485,0.670804794662704,-0.05099854322070154,-0.0750859783206892,0.34617849859182287,0.040068973493396824,0.001828032056543527,0.504923764203166,0.11517917840147616
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",4,51485,0.6901012232752571,-0.046056879432467036,-0.06854782986022667,0.351306205690978,0.05108233292117639,0.010249376558603585,0.5294940273866174,0.11024570263183452
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",5,51602,0.6353383336861153,-0.046167264164993116,-0.06649542871797848,0.35064532382465796,0.053885445611948066,0.014812019902655321,0.5429440719351963,0.10815472268516724
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",6,51598,0.6364009639599094,-0.04670562249585607,-0.06481471501636343,0.35051746191712857,0.05629411939800358,0.016203484748412517,0.5497112291174077,0.10719407728981743
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",7,51483,0.6693073924967579,-0.0456536430248647,-0.06440251401811903,0.35058174543053044,0.05925886350432656,0.017970363013877555,0.5530757725851252,0.106695414020162
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",8,51485,0.7469749076069928,-0.04503116701130984,-0.06509613987294682,0.349732931921919,0.061459455240732964,0.01959401058630872,0.5534621734485773,0.11482956200835194
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",9,51484,0.9364027763374119,-0.03697359644039611,-0.06610824209304761,0.36174345427705695,0.06559791827107797,0.01595323647070132,0.5392549141480848,0.11454043974827131
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",10,51739,1.4067769960228336,-0.03323738736041159,-0.08326804548249289,0.35029668142020526,0.056135575765604115,-0.010408002268108396,0.4794642339434469,0.14849533234117396
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),1,82129,0.6528947599820768,-0.05232454609417278,-0.07097148036985323,0.33487562249631675,0.04124598373620723,0.005143868558273701,0.5164558195034641,0.11316343800606363
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),2,82482,0.6773597659424485,-0.060709783532253106,-0.07991937881059191,0.32838679954414296,0.039166948264145206,0.0016615738971705873,0.5047525520719672,0.1239906888775733
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),3,82494,0.7593439007918444,-0.060043671073006386,-0.08274378177943031,0.3290421121536112,0.041593525444854444,0.0012104019924553955,0.5036123839309525,0.12923364123451403
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),4,82483,0.8142798978878406,-0.05778049602815046,-0.08266218306659834,0.3360086320817623,0.04562989022710254,0.0038904529779589803,0.5103597104857971,0.1331425869573124
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),5,82611,0.8642867964752201,-0.05838514128139463,-0.08880248636791832,0.32671193908801494,0.04582470971034378,-0.0010532777983728314,0.4965198339204222,0.13886770526927406
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),6,82612,0.9702933875866266,-0.05426646718926325,-0.0896742272513193,0.3291773592214206,0.049501471495076804,-0.002287663633927295,0.4940686583062993,0.14288481092335253
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),7,82484,1.1055561893295873,-0.05127737291257271,-0.0917531146354364,0.33170069346782405,0.05486819781374388,-0.0023591280304281204,0.4944837786722273,0.15051403908636826
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),8,82492,1.2965572679254627,-0.0474601417003282,-0.09611449791691723,0.339402608737817,0.06017016054875205,-0.005006924628753906,0.49055666003976145,0.1649735731949765
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),9,82479,1.4562021289555933,-0.04084516335782697,-0.09872128281869808,0.3432146364529153,0.06894114638328934,-0.004088917381508794,0.49236775421622475,0.17661465342693292
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),10,82740,1.7334620740828943,-0.024912858839793467,-0.08544369617196967,0.37341068407058253,0.08966656037606974,0.01421628522541074,0.5230360164370317,0.1734469422286681
120,R1_달리는말(mom12_1↑+beta60↑+근고점),1,53229,0.6736125044618536,-0.2308544945861567,-0.24731478078938718,0.24146611809352045,0.021619285189537513,-0.03523695810169225,0.44071840538052565,0.4394784797760619
120,R1_달리는말(mom12_1↑+beta60↑+근고점),2,53475,0.8126293408556295,-0.17511192676254,-0.19670468893376392,0.2688920056100982,0.06499875974603031,-0.005001680766858363,0.49125759700794763,0.38019635343618513
120,R1_달리는말(mom12_1↑+beta60↑+근고점),3,53471,0.838393819009923,-0.15783664013962098,-0.1856225503602722,0.28297581866806304,0.08130211156651292,0.002898322986833457,0.505488956630697,0.3656000448841428
120,R1_달리는말(mom12_1↑+beta60↑+근고점),4,53485,0.8268374706834429,-0.1558662754787948,-0.1822809849092667,0.2886229784051603,0.08563112424210992,0.0070851273100348,0.51163877722726,0.3613536505562307
120,R1_달리는말(mom12_1↑+beta60↑+근고점),5,53555,0.7985837560497133,-0.16656125003011732,-0.19216335298205112,0.27125385118102885,0.077213672656759,0.0009876110331930033,0.5018392306974139,0.3644477639809542
120,R1_달리는말(mom12_1↑+beta60↑+근고점),6,53555,0.8016029762994287,-0.1695295254177528,-0.1999688061377094,0.263467463355429,0.07452813420680017,-0.00843394017572141,0.48529549061712257,0.36941462048361495
120,R1_달리는말(mom12_1↑+beta60↑+근고점),7,53485,1.0739817603667026,-0.14817385477277686,-0.1908943570082826,0.2777414228288305,0.09969939293580439,0.0023881744777203284,0.5039356829017482,0.36662615686641115
120,R1_달리는말(mom12_1↑+beta60↑+근고점),8,53471,1.276112503596709,-0.12979151113271148,-0.17977138021209682,0.2889790727684165,0.10878625979049455,0.009533439079457473,0.5152138542387462,0.36012043911653047
120,R1_달리는말(mom12_1↑+beta60↑+근고점),9,53475,2.037998793438863,-0.06315445977678934,-0.15251410138870736,0.3332398316970547,0.17080319409281572,0.02981370053228427,0.5429266012155213,0.34262739597942965
120,R1_달리는말(mom12_1↑+beta60↑+근고점),10,53648,2.6229216335570533,0.005978685884103631,-0.12419803442392707,0.37766552341187,0.2405933093116972,0.05994490490765317,0.5619967193558008,0.31466224276767074
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),1,53229,0.9606762324061384,-0.15016177779775164,-0.1904116611697444,0.28918446711379137,0.04134807337016319,-0.03830587130387064,0.4415825959533337,0.3701741531871724
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),2,53475,0.7959987869032353,-0.15500768945429688,-0.18368038220180793,0.28738662926601216,0.06546356292047488,-0.006486778390864034,0.4881720430107527,0.36218793828892004
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),3,53471,0.8066422045839386,-0.1550921366972733,-0.1797870952557996,0.28293841521572444,0.07923767622989543,0.006672969709671128,0.5119597538852836,0.3552392885863365
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),4,53485,0.8026520967694848,-0.16581846528172411,-0.18701620889404635,0.2711227446947742,0.07984231925610173,0.0027973660615517315,0.5052257642329625,0.3651117135645508
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),5,53555,0.8650066015434512,-0.15362555413106682,-0.1803225371529169,0.2767435346839697,0.09494438290228385,0.010333712198848488,0.5186257118849781,0.35583979086919987
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),6,53555,1.0808808493980995,-0.14589342403493016,-0.18014804514065585,0.28792829801139014,0.1097414670702071,0.0201598641861781,0.5332461954999533,0.35834189151339746
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),7,53485,1.13595678102122,-0.14019993782506296,-0.17979734482963705,0.29148359353089653,0.11324654068913016,0.016993539163063676,0.5281293820697391,0.35673553332710106
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),8,53471,1.288964347531036,-0.13429786158303778,-0.1876419720931366,0.2844345533092704,0.11811108224510863,0.008871128871128953,0.5132688747171363,0.3687419348805895
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),9,53475,1.6615435266983014,-0.11745914484263921,-0.20362719947475016,0.29662459093034127,0.14401799135773702,0.008609418059662421,0.5098831229546517,0.38859280037400656
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),10,53648,2.369746778953442,-0.07252484408870137,-0.18796184773939223,0.32743065911124364,0.17965101381389378,0.010531993815762586,0.5104943334327467,0.3828288100208768
120,R3_조용함(lv60↓+to20↓),1,85035,1.1375744009910636,-0.1814323435800964,-0.2482995480647101,0.21333568530605046,-0.04256814280678476,-0.1434399477658187,0.2967954371729288,0.4274592814723349
120,R3_조용함(lv60↓+to20↓),2,85426,1.386476065797805,-0.10540973189537707,-0.18226019839040086,0.26263666799335095,0.03500199028063953,-0.08020609463845074,0.3710696977500995,0.33085945730807953
