rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
98,373220,KOSPI,0.911,1093,LG에너지솔루션,전기장비,,83.89,0.0471,-30.3,-8.7,3.9,1124.7,220.1,-345.8,540.0,2933.7,0,1,
99,206650,KOSDAQ,0.91,1093,유바이오로직스,제약·바이오,,0.32,0.0404,-45.7,-32.7,0.7,14.0,-7.7,-20.4,3.9,3.9,0,1,
100,114840,KOSDAQ,0.909,1093,아이패밀리에스씨,화학,,0.15,0.042,-65.6,-64.4,11.7,6.0,-5.0,-3.7,8.3,4.6,0,1,
101,180640,KOSPI,0.909,1093,한진칼,금융(은행),,9.75,0.0446,-15.6,9.1,14.8,107.8,-0.2,313.5,23.7,62.4,0,1,
102,035250,KOSPI,0.908,1093,강원랜드,예술·스포츠,,3.16,0.0152,-24.5,-21.2,1.7,42.1,12.5,-2.3,5.1,6.3,0,1,
103,010950,KOSPI,0.907,1093,S-Oil,석유정제,,17.71,0.0431,0.0,104.8,25.9,578.1,-75.7,-530.8,401.2,1186.3,0,1,
104,006040,KOSPI,0.906,1093,동원산업,금융(은행),,1.68,0.0243,-23.8,-15.2,3.0,17.5,12.8,58.7,4.4,6.3,0,1,
105,336370,KOSPI,0.905,1093,솔루스첨단소재,반도체·전자부품,EXCLUDE,0.52,0.0506,-53.9,-19.2,4.9,6.5,-1.1,-0.4,0.3,-1.5,0,1,
106,051360,KOSDAQ,0.904,1093,토비스,반도체·전자부품,,0.12,0.0594,-41.3,-28.9,-1.2,5.9,-0.4,-19.2,1.8,8.9,0,1,
107,011170,KOSPI,0.903,1093,롯데케미칼,화학,,2.57,0.0352,-49.2,-8.0,2.2,87.0,31.7,-54.9,72.7,-114.8,0,1,
108,060720,KOSDAQ,0.902,1093,KH바텍,반도체·전자부품,,0.26,0.0466,-43.0,-6.7,2.0,16.8,-3.9,-6.9,-6.5,-11.5,0,1,
109,281820,KOSPI,0.901,1093,케이씨텍,의료·정밀·광학,,1.35,0.089,-42.0,124.8,9.0,114.5,9.1,214.3,-48.9,-324.4,0,1,
110,214420,KOSPI,0.9,1093,토니모리,화학,WATCH,0.13,0.0428,-51.9,-48.3,-3.5,9.8,-4.4,-7.8,1.4,1.0,0,0,
111,002790,KOSPI,0.899,1093,아모레퍼시픽홀딩스,화학,,2.02,0.0317,-24.7,-2.6,-1.1,23.7,23.5,66.7,9.2,21.3,0,0,
112,271560,KOSPI,0.898,1093,오리온,식료품,,4.99,0.0245,-13.5,22.6,-6.8,131.2,61.1,142.0,-22.4,-171.4,0,0,
113,053800,KOSDAQ,0.898,1093,안랩,출판·SW,,0.64,0.0216,-16.4,-8.0,-1.2,19.6,4.8,62.4,-7.7,-12.9,0,0,
114,082270,KOSDAQ,0.897,1093,젬백스,기계·장비,WATCH,0.47,0.0517,-82.2,-76.5,-11.6,23.8,6.6,-26.2,-12.5,-21.6,0,0,
