factor,label,h,IC,ci_lo,ci_hi,n_days,pct_pos
turn20,회전율,1,-0.1521481899706053,-0.21976870500646087,-0.07996180894049336,35,0.2571428571428571
vol_exp,변동성팽창(std5/21),1,-0.028047730432480645,-0.061849787095958196,0.004251355107129538,35,0.45714285714285713
svr5,공매도비중5d,1,0.08627023685391777,0.04633681153881034,0.12614202211030445,35,0.7714285714285715
frg5n,외인5d,1,0.006300732509402185,-0.024295119319224068,0.037432806494132546,35,0.5428571428571428
frg20n,외인20d,1,-0.023267257368372863,-0.045197820507734195,-0.0002549227502269972,35,0.4
ins5n,기관5d,1,-0.03196125989070252,-0.06075896059769003,-0.00155190717606894,35,0.34285714285714286
ins20n,기관20d,1,-0.024066547762021412,-0.044728961798654335,-0.001753351579454825,35,0.34285714285714286
pen5n,연기금5d,1,-0.04853474696790984,-0.07467451597129554,-0.022346290266055887,35,0.2
pen20n,연기금20d,1,-0.044859718601247475,-0.06225259306990582,-0.02814310780316546,35,0.22857142857142856
tru5n,투신5d,1,-0.030990873219480422,-0.05316697924277229,-0.009249754812528545,35,0.37142857142857144
tru20n,투신20d,1,-0.01822851536677733,-0.03768885574695036,0.0016162767785665383,35,0.34285714285714286
per5n,개인5d,1,0.005362050499415504,-0.03313100509110102,0.03854559069627312,35,0.6571428571428571
per20n,개인20d,1,0.019380636943029883,0.005581787112570739,0.03261834313534968,35,0.7142857142857143
