anchor,rate,n,mk20
20250217,0.011155378486055778,1255,-2.985113470747458
20250218,0.009508716323296355,1262,-4.562786789892059
20250219,0.004746835443037975,1264,-6.8253947858712305
20250220,0.003924646781789639,1274,-6.359743319405942
20250221,0.0054988216810683424,1273,-7.026399018911755
20250224,0.003127443315089914,1279,-8.026327699688363
20250225,0.0031031807602792862,1289,-6.881717635132489
20250226,0.0038669760247486465,1293,-8.286125406722745
20250227,0.004576659038901602,1311,-10.00064863462412
20250228,0.005279034690799397,1326,-9.558309586536918
20250304,0.007558578987150416,1323,-6.294890906626904
20250305,0.006001500375093774,1333,-8.313809491933865
20250306,0.006010518407212622,1331,-6.998040603058831
20250307,0.005235602094240838,1337,-5.539370619760897
20250310,0.01199400299850075,1334,-10.267008349177498
20250311,0.014328808446455505,1326,-8.738738738738727
20250312,0.013646702047005308,1319,-11.802766316193502
20250313,0.014570552147239263,1304,-5.673768677365798
20250314,0.011574074074074073,1296,-5.266526843352482
20250317,0.015444015444015444,1295,-4.644187704267589
20250318,0.01317829457364341,1290,-4.509483059259056
20250319,0.013953488372093023,1290,-5.314552718900256
20250320,0.013302034428794992,1278,-1.847893539267731
20250321,0.021143304620203602,1277,-0.22796458208810266
20250324,0.024237685691946835,1279,-0.6622976312793294
20250325,0.0220125786163522,1272,0.6832944352276327
20250326,0.011067193675889328,1265,1.3398838767306964
20250327,0.013449367088607595,1264,2.6275989766639807
20250328,0.016574585635359115,1267,5.1790244464944735
20250331,0.019138755980861243,1254,6.919818681726975
20250401,0.01592356687898089,1256,5.063272832453536
20250402,0.0168,1250,4.729502810834485
20250403,0.016935483870967744,1240,5.613834876881896
20250404,0.013654618473895583,1245,5.152824451912297
20250407,0.033123028391167195,1268,12.020574236143112
20250408,0.023547880690737835,1274,9.730427519173812
20250409,0.031906614785992216,1285,12.746545641057526
20250410,0.021756021756021756,1287,7.346837002596107
20250411,0.020077220077220077,1295,6.247933409048412
20250414,0.020061728395061727,1296,3.4204067815735373
20250415,0.016166281755196306,1299,1.8471176536689615
20250416,0.017733230531996914,1297,2.0940910586316974
20250417,0.020123839009287926,1292,0.5338953284158787
20250418,0.01809598741148702,1271,0.8150243114089406
20250421,0.01179245283018868,1272,0.31029422042070376
20250422,0.01411764705882353,1275,-0.019549796123552454
20250423,0.019334880123743233,1293,-0.11155795504628196
20250424,0.018433179723502304,1302,0.14185764654033317
20250425,0.016781083142639208,1311,-0.12334004851376479
20250428,0.018982536066818528,1317,2.3463671619799564
20250429,0.019622641509433963,1325,1.086088704126853
20250430,0.02330827067669173,1330,3.213708103284807
20250502,0.02562170308967596,1327,3.9273543346355355
20250507,0.022744503411675512,1319,4.623621698648339
20250508,0.02359208523592085,1314,4.745130826902777
20250509,0.025894897182025894,1313,6.737529756961758
20250512,0.03274942878903275,1313,8.393989523021773
20250513,0.03179409538228615,1321,7.866043613707174
20250514,0.02416918429003021,1324,4.033556592923349
20250515,0.031578947368421054,1330,6.004937059312909
20250516,0.03281133482475764,1341,6.975878191071194
20250519,0.04431314623338257,1354,9.24413309982488
20250520,0.0413589364844904,1354,9.357836629166382
20250521,0.037009622501850484,1351,9.384759956883437
20250522,0.044444444444444446,1350,9.352487912271656
20250523,0.04083147735708983,1347,11.864856560239101
20250526,0.039581777445855115,1339,10.056944310394766
20250527,0.038002980625931444,1342,8.367372199529655
20250528,0.034892353377876766,1347,7.240768945786846
20250529,0.027366863905325445,1352,6.140243653995037
20250530,0.030814380044020543,1363,6.716143528290308
20250602,0.02785923753665689,1364,5.657242432019882
20250604,0.01890909090909091,1375,5.747723970621554
20250605,0.01305293691080493,1379,2.5878370337066636
20250609,0.007834757834757835,1404,1.8646707056960699
20250610,0.01055594651653765,1421,1.6908713692945998
20250611,0.011929824561403509,1425,0.5176207251777365
20250612,0.015894955079474776,1447,1.0450313509405174
20250613,0.014383561643835616,1460,4.111281637749387
20250616,0.011675824175824176,1456,2.8446079818850833
20250617,0.012995896032831737,1462,4.799845291046223
20250618,0.012978142076502733,1464,4.168109473792203
20250619,0.013550135501355014,1476,4.56990964971693
20250620,0.011417058428475487,1489,3.6814776445617925
20250623,0.01208865010073875,1489,4.701894774398263
20250624,0.010680907877169559,1498,1.503252469004801
20250625,0.0072992700729927005,1507,1.9230528307087047
20250626,0.011873350923482849,1516,2.7844406370962638
20250627,0.010491803278688525,1525,3.248630943241726
