date,ticker,opinion_score,opinion_label,target_price,coverage,fetched_at
20260912,011500,,,,0,20260912_0131
20260912,011560,,,,0,20260912_0131
20260912,011690,,,,0,20260912_0131
20260912,011700,,,,0,20260912_0131
20260912,011760,,,,0,20260912_0131
20260912,011780,,,,0,20260912_0131
20260912,011785,,,,0,20260912_0131
20260912,011790,,,,0,20260912_0131
20260912,011930,,,,0,20260912_0131
20260912,012030,,,,0,20260912_0131
20260912,012160,,,,0,20260912_0131
20260912,012170,,,,0,20260912_0131
20260912,012200,,,,0,20260912_0131
20260912,012205,,,,0,20260912_0131
20260912,012210,,,,0,20260912_0131
20260912,012280,,,,0,20260912_0131
20260912,012320,,,,0,20260912_0131
20260912,012330,,,,0,20260912_0131
20260912,012340,,,,0,20260912_0131
20260912,012450,,,,0,20260912_0131
20260912,012610,,,,0,20260912_0131
20260912,012620,,,,0,20260912_0131
20260912,012630,,,,0,20260912_0131
20260912,012690,,,,0,20260912_0131
20260912,012700,,,,0,20260912_0131
20260912,012750,,,,0,20260912_0131
20260912,012790,,,,0,20260912_0131
20260912,012800,,,,0,20260912_0131
20260912,012860,,,,0,20260912_0131
20260912,013000,,,,0,20260912_0131
20260912,013030,,,,0,20260912_0131
20260912,013120,,,,0,20260912_0131
20260912,013310,,,,0,20260912_0131
20260912,013360,,,,0,20260912_0131
20260912,013520,,,,0,20260912_0131
20260912,013570,,,,0,20260912_0131
20260912,013580,,,,0,20260912_0131
20260912,013700,,,,0,20260912_0131
20260912,013720,,,,0,20260912_0131
20260912,013810,,,,0,20260912_0131
20260912,013870,,,,0,20260912_0131
20260912,013890,,,,0,20260912_0131
20260912,013990,,,,0,20260912_0131
20260912,014100,,,,0,20260912_0131
20260912,014130,,,,0,20260912_0131
20260912,014160,,,,0,20260912_0131
20260912,014190,,,,0,20260912_0131
20260912,014280,,,,0,20260912_0131
20260912,014285,,,,0,20260912_0131
20260912,014440,,,,0,20260912_0131
20260912,014470,,,,0,20260912_0131
20260912,014530,,,,0,20260912_0131
20260912,014570,,,,0,20260912_0131
20260912,014580,,,,0,20260912_0131
20260912,014680,,,,0,20260912_0131
20260912,014710,,,,0,20260912_0131
20260912,014790,,,,0,20260912_0131
20260912,014820,,,,0,20260912_0131
20260912,014830,,,,0,20260912_0131
20260912,014910,,,,0,20260912_0131
20260912,014915,,,,0,20260912_0131
20260912,014940,,,,0,20260912_0131
20260912,014950,,,,0,20260912_0131
20260912,014970,,,,0,20260912_0131
20260912,014990,,,,0,20260912_0131
20260912,015230,,,,0,20260912_0131
20260912,015260,,,,0,20260912_0131
20260912,015360,,,,0,20260912_0131
20260912,015590,,,,0,20260912_0131
20260912,015710,,,,0,20260912_0131
20260912,015750,,,,0,20260912_0131
20260912,015760,,,,0,20260912_0131
20260912,015860,,,,0,20260912_0131
20260912,015890,,,,0,20260912_0131
20260912,016090,,,,0,20260912_0131
20260912,016100,,,,0,20260912_0131
20260912,016250,,,,0,20260912_0131
20260912,016360,,,,0,20260912_0131
20260912,016380,,,,0,20260912_0131
20260912,016450,,,,0,20260912_0131
20260912,016580,,,,0,20260912_0131
20260912,016590,,,,0,20260912_0131
20260912,016600,,,,0,20260912_0131
20260912,016610,,,,0,20260912_0131
20260912,016670,,,,0,20260912_0131
20260912,016710,,,,0,20260912_0131
20260912,016740,,,,0,20260912_0131
20260912,016800,,,,0,20260912_0131
20260912,016880,,,,0,20260912_0131
20260912,016920,,,,0,20260912_0131
20260912,017000,,,,0,20260912_0131
20260912,017180,,,,0,20260912_0131
20260912,017250,,,,0,20260912_0131
20260912,017370,,,,0,20260912_0131
20260912,017390,,,,0,20260912_0131
20260912,017480,,,,0,20260912_0131
