c1,c2,n,events,lift
amt_trend↑,size↓,25621,479,1.0698556110981525
size↓,zr20↑,16646,310,1.065706305426644
upr63↑,amihud63↓,22772,424,1.065492539776626
amt20↓,amt_trend↑,9196,171,1.0641010693227622
amt_trend↓,sma60gap↓,53752,998,1.062482156151528
price↓,nh_fresh↑,15316,284,1.0611058630395924
upr63↑,nh_fresh↑,6474,120,1.0607041860822095
amihud63↑,zr20↑,12885,238,1.0570079797993155
sma20gap↓,amihud63↓,21735,400,1.0531399280264129
vol_dry↓,size↑,5011,92,1.050628448852612
amt_trend↓,sma20gap↓,36361,667,1.049725499565556
amt_trend↑,nh_fresh↓,4200,77,1.0491248320508122
dlow52↓,ret5↑,4917,90,1.047437294187954
mom21↓,obv63↓,36217,661,1.0444188901529219
ret5↓,size↑,16058,293,1.0441476096566582
amt20↓,amihud63↑,37757,688,1.0427415763255827
rv_ratio↓,mom21↓,46561,848,1.0422197167497833
dd52↑,mom12_1↑,17426,317,1.040991741995057
amt_trend↓,size↑,9566,174,1.0408894424011632
mom63↓,upr63↓,55877,1016,1.0405102402162139
mom21↓,nh_fresh↑,14254,259,1.039797434217484
amt20↓,upr63↓,31207,565,1.0360534439103852
vol_dry↑,dlow52↓,15807,286,1.035386055544548
