rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
102,028300,1.061,122,HLB,제약·바이오,47.4,-3.8,-17.5,0.6,5.5,-53.9,475.1,-232.5,-1027.0,5.1,-287.8,2.3,110.0,EXCLUDE,EXCLUDE,0,0,CB 08/05
103,213420,1.033,122,덕산네오룩스,반도체·전자부품,65.2,-6.3,-6.9,0.6,-2.9,-48.3,64.1,-9.0,121.4,-31.2,-254.3,80.0,27.0,WATCH,WATCH,0,0,
104,124500,0.988,122,아이티센글로벌,IT서비스,40.8,-7.3,-4.3,0.48,-2.7,-58.7,221.4,-11.0,-25.7,-26.1,-74.5,-61.5,48.0,WATCH,WATCH,0,0,
105,018290,0.975,122,브이티,화학,69.4,-6.3,-7.3,0.59,-1.6,-64.1,22.9,-15.4,-81.4,0.3,-12.4,-63.3,25.0,OBSERVE,C,0,0,
106,091590,0.955,122,남화토건,건설,48.0,-10.1,1.8,0.27,-11.1,-49.6,65.2,1.7,-0.3,0.3,2.3,-84.3,44.0,WATCH,WATCH,0,0,
107,064260,0.91,122,다날,출판·SW,66.6,-10.6,-12.8,0.81,-10.2,-60.9,116.1,-13.7,-30.7,-5.6,-11.6,67.0,61.0,WATCH,WATCH,0,0,
108,237690,0.906,122,에스티팜,제약·바이오,63.4,-6.4,-8.6,0.59,3.5,-47.1,128.2,51.0,151.8,-273.7,-279.0,41.7,69.0,WATCH,WATCH,0,0,
109,457600,0.885,122,벡트,반도체·전자부품,47.3,-4.9,-7.6,0.37,-1.2,-20.4,8.2,0.2,-6.6,0.0,0.0,0.7,107.0,WATCH,WATCH,0,0,유상증자 07/16
110,064550,0.865,122,바이오니아,제약·바이오,65.6,-9.1,-5.1,0.49,-8.1,-45.2,97.1,-11.5,-57.9,0.2,0.2,-77.8,76.0,OBSERVE,C,0,0,
111,215600,0.857,122,신라젠,지주·전문서비스,65.1,-8.9,-0.5,0.24,-1.8,-59.2,79.7,-9.5,-57.7,-0.6,-4.2,0.1,99.0,EXCLUDE,EXCLUDE,0,0,
112,126640,0.832,122,화신정공,자동차·부품,57.4,-7.4,-13.3,0.67,9.1,-49.8,54.9,5.1,-44.4,0.0,0.1,89.3,100.0,WAIT,B,0,0,
113,222040,0.828,122,코스맥스엔비티,식료품,56.2,-7.9,-7.7,0.55,0.1,-33.6,21.0,6.4,-40.2,-7.8,16.5,236.2,87.0,WATCH,WATCH,0,0,
114,048550,0.779,122,SM C&C,엔지니어링,61.2,-6.2,-16.4,0.62,1.7,-42.8,5.3,-2.0,-6.3,0.4,0.5,-24.1,91.0,EXCLUDE,EXCLUDE,0,0,
115,094170,0.709,122,동운아나텍,반도체·전자부품,67.5,-6.1,-17.8,0.56,3.9,-50.8,29.9,6.8,-64.8,0.0,-1.6,-263.1,101.0,WATCH,WATCH,0,0,
116,123330,0.533,122,제닉,화학,67.9,-18.0,-12.6,0.55,-3.9,-37.4,97.8,-2.0,15.3,13.2,-52.5,82.9,33.0,OBSERVE,B,0,0,
117,377450,0.484,122,리파인,IT서비스,62.8,-10.7,-10.1,0.42,-15.3,-19.7,31.4,-12.2,-14.5,7.8,87.6,-23.5,36.0,WATCH,WATCH,0,0,
118,484810,0.463,122,티엑스알로보틱스,기계·장비,58.6,-7.0,-11.7,0.27,0.7,-53.3,58.8,4.5,3.5,0.0,-13.0,-589.9,114.0,EXCLUDE,EXCLUDE,0,0,
119,257720,0.418,122,실리콘투,도매,66.4,-12.5,-13.6,0.48,-9.4,-26.6,662.3,-79.3,2191.9,-80.2,-2314.9,208.3,11.0,WATCH,WATCH,0,0,유상증자 08/18
120,153890,0.385,122,져스텍,전기장비,63.3,-8.2,-23.4,0.42,4.0,-76.1,48.0,6.9,18.8,0.1,-12.7,126.8,105.0,OBSERVE,C,0,0,
121,459550,0.332,122,알트,반도체·전자부품,45.4,-10.9,-10.9,0.28,-9.2,-66.0,149.9,-1.5,4.2,0.0,-1.1,-160.7,45.0,OBSERVE,C,0,0,
122,330350,0.32,122,위더스제약,제약·바이오,59.2,-6.4,-18.2,0.21,-1.6,-39.2,84.9,3.5,-13.9,0.0,0.9,29.6,75.0,OBSERVE,B,0,0,
