rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
88,001230,KOSPI,3.42,1103,동국홀딩스,금융(은행),,0.31,0.0296,-22.0,8.8,6.2,8.1,4.0,14.6,-0.1,0.5,0,1,
89,081660,KOSPI,3.418,1103,미스토홀딩스,도매,OBSERVE,2.16,0.0367,-25.1,15.1,-12.9,43.4,-28.6,-18.2,31.6,-18.5,0,1,
90,012630,KOSPI,3.417,1103,HDC,금융(은행),,1.37,0.0397,-23.7,9.9,1.5,12.5,4.6,26.9,-5.7,-13.6,0,1,
91,316140,KOSPI,3.417,1103,우리금융지주,,,25.2,0.0242,-16.2,34.0,-1.7,909.3,3982.2,4003.7,683.3,1294.2,0,1,
92,000640,KOSPI,3.416,1103,동아쏘시오홀딩스,금융(은행),,0.62,0.0237,-22.8,-16.5,3.5,16.4,-3.6,15.6,0.3,-26.4,0,1,
93,018250,KOSPI,3.413,1103,애경산업,화학,,0.31,0.0223,-35.2,-27.4,-2.8,7.8,-7.4,-5.6,-0.2,0.1,0,1,
94,091700,KOSDAQ,3.412,1103,파트론,반도체·전자부품,WATCH,0.27,0.0254,-37.0,-12.3,-3.9,5.5,-4.9,-24.7,0.1,2.4,0,1,
95,004000,KOSPI,3.412,1103,롯데정밀화학,화학,,1.18,0.0269,-35.7,12.3,-5.7,21.5,-11.2,32.0,-8.8,-53.7,0,1,
96,101530,KOSPI,3.41,1103,해태제과식품,식료품,,0.16,0.0276,-23.8,-16.4,-1.8,6.3,-0.5,-3.8,0.0,-0.0,0,1,
97,014830,KOSPI,3.403,1103,유니드,화학,,0.44,0.0268,-34.1,-18.3,4.5,7.8,-12.6,-1.3,10.9,-0.6,0,1,
98,015230,KOSPI,3.399,1103,대창단조,자동차·부품,,0.18,0.0271,-10.2,-7.8,11.0,6.0,1.4,3.1,-0.7,-10.6,0,1,
99,049430,KOSDAQ,3.392,1103,코메론,의료·정밀·광학,,0.2,0.0252,-6.0,90.0,2.6,5.8,2.4,-2.7,0.2,5.6,0,1,
100,002310,KOSPI,3.384,1103,아세아제지,펄프·종이,,0.35,0.0256,-20.1,1.7,12.3,8.2,-1.8,-2.9,0.9,5.4,0,1,
101,012750,KOSPI,3.381,1103,에스원,사업지원,,3.01,0.0425,-15.9,-4.8,3.3,46.2,21.3,30.6,-21.6,-4.9,0,1,
102,018670,KOSPI,3.379,1103,SK가스,도매,,2.22,0.0371,-17.4,-8.5,5.0,28.3,-28.7,-111.9,48.8,185.5,0,1,
103,009970,KOSPI,3.372,1103,영원무역홀딩스,금융(은행),WAIT,2.21,0.0327,-31.7,65.8,-17.3,22.5,3.4,-0.4,-1.1,-39.0,0,1,
104,010955,KOSPI,3.368,1103,S-Oil우,,,0.29,0.0297,0.0,55.4,10.0,13.8,-15.9,-43.7,15.3,41.1,0,1,
105,111770,KOSPI,3.366,1103,영원무역,도매,BUY,3.33,0.0321,-23.4,64.4,-19.6,56.2,-10.8,-21.5,15.3,-76.6,0,1,
106,036530,KOSPI,3.355,1103,SNT홀딩스,금융(은행),,0.77,0.0233,-46.7,-15.1,-2.2,5.1,-6.7,-19.4,-3.2,-13.0,0,1,
107,161390,KOSPI,3.346,1103,한국타이어앤테크놀로지,고무·플라스틱,,8.1,0.0344,-14.7,75.2,-7.2,175.6,31.5,74.3,-51.8,-247.5,0,1,
108,017800,KOSPI,3.339,1103,현대엘리베이터,기계·장비,,2.95,0.0226,-32.4,-10.8,4.1,109.1,-12.7,-301.5,11.8,126.5,0,1,
109,079940,KOSDAQ,3.339,1103,가비아,출판·SW,WATCH,0.57,0.0447,-11.3,88.7,-1.9,10.3,2.6,56.0,-0.1,-50.3,0,1,
110,215200,KOSDAQ,3.331,1103,메가스터디교육,교육,OBSERVE,0.36,0.0253,-29.4,-12.2,-15.2,14.9,-4.1,-54.3,0.3,2.3,0,1,
111,461300,KOSDAQ,3.327,1103,아이스크림미디어,출판·SW,,0.25,0.0264,-27.8,-11.7,5.6,7.3,-2.2,24.0,6.6,7.5,0,0,
112,282330,KOSPI,3.322,1103,BGF리테일,소매,,2.6,0.0351,-1.9,11.2,-1.9,95.2,62.4,386.6,-26.3,-102.8,0,0,
113,138930,KOSPI,3.315,1103,BNK금융지주,,,4.85,0.0295,-30.2,4.3,4.3,144.0,-124.9,-137.1,153.0,42.2,0,0,
114,023590,KOSPI,3.314,1103,다우기술,IT서비스,WATCH,1.64,0.0307,-38.3,19.3,-1.2,11.5,-5.8,-1.9,-1.0,4.7,0,0,
115,175330,KOSPI,3.311,1103,JB금융지주,,,5.86,0.035,-16.3,22.6,8.8,112.6,-155.3,-147.9,254.6,326.1,0,0,
116,302440,KOSPI,3.309,1103,SK바이오사이언스,제약·바이오,,2.95,0.0298,-37.4,-25.4,2.0,31.2,18.4,49.9,-11.2,-27.1,0,0,
117,039130,KOSPI,3.298,1103,하나투어,사업지원,,0.51,0.0256,-37.9,-39.9,4.1,8.8,-5.8,-17.5,5.9,4.6,0,0,
118,006120,KOSPI,3.289,1103,SK디스커버리,금융(은행),,0.98,0.0414,-17.3,5.2,5.8,13.3,0.4,-10.6,-0.5,-2.0,0,0,
119,014820,KOSPI,3.288,1103,동원시스템즈,고무·플라스틱,,0.63,0.0319,-27.8,-28.0,-2.0,9.5,1.0,1.6,2.6,7.4,0,0,
120,236200,KOSDAQ,3.287,1103,슈프리마,반도체·전자부품,EXCLUDE,0.35,0.0358,-20.1,90.5,-18.8,13.0,0.2,39.6,1.2,-16.0,0,0,
121,007690,KOSPI,3.283,1103,국도화학,화학,,0.36,0.0374,-13.2,3.0,-0.1,8.2,-0.8,1.0,7.5,6.4,0,0,
122,365550,KOSPI,3.282,1103,ESR켄달스퀘어리츠,,,0.75,0.0263,-34.8,-28.3,-5.8,19.1,-2.8,-50.2,3.2,6.7,0,0,
123,089590,KOSPI,3.278,1103,제주항공,운수·물류,,0.37,0.0322,-31.2,-34.3,5.0,6.5,2.5,-2.3,4.3,7.5,0,0,
124,030610,KOSPI,3.274,1103,교보증권,,,1.17,0.0348,-38.3,16.3,3.1,5.1,-5.6,-6.6,1.4,17.0,0,0,
125,383220,KOSPI,3.273,1103,F&F,의복,,2.51,0.0416,-23.8,2.4,-2.1,43.6,-1.3,-11.8,11.3,-15.4,0,0,
126,145720,KOSPI,3.263,1103,덴티움,의료·정밀·광학,,0.33,0.0288,-35.4,-28.8,-8.1,6.6,-5.1,-38.7,1.3,1.8,0,0,
127,183190,KOSPI,3.262,1103,아세아시멘트,비금속광물(시멘트·유리),,0.39,0.0378,-24.1,-30.2,16.3,5.7,-5.5,-10.4,5.6,12.2,0,0,
128,099190,KOSDAQ,3.254,1103,아이센스,의료·정밀·광학,WATCH,0.47,0.0331,-39.0,5.9,-10.4,7.6,2.8,10.8,-3.5,-0.3,0,0,
129,064960,KOSPI,3.253,1103,SNT모티브,자동차·부품,,0.71,0.0284,-32.1,-18.7,-2.0,21.9,-20.1,-105.6,10.0,51.6,0,0,
130,006280,KOSPI,3.245,1103,녹십자,제약·바이오,,1.49,0.0296,-29.4,-5.7,-2.0,30.8,-2.1,28.8,-3.8,0.2,0,0,
131,001680,KOSPI,3.243,1103,대상,식료품,,0.65,0.0229,-21.6,-17.0,1.5,30.8,11.5,-34.2,26.8,33.2,0,0,
132,003550,KOSPI,3.243,1103,LG,금융(은행),,18.82,0.0329,-24.9,43.3,15.2,375.6,-261.3,-149.2,-32.8,330.6,0,0,
133,090850,KOSDAQ,3.242,1103,현대이지웰,출판·SW,WAIT,0.11,0.0247,-24.7,-19.6,-2.7,5.3,-6.5,-21.3,0.1,0.6,0,0,
134,035810,KOSDAQ,3.24,1103,이지홀딩스,식료품,,0.31,0.0235,-44.4,16.0,6.3,7.8,-3.0,-5.9,3.6,-3.8,0,0,
135,003240,KOSPI,3.239,1103,태광산업,화학,,1.02,0.0302,-41.9,0.7,-0.8,13.8,0.2,7.4,-3.0,-0.8,0,0,
136,002840,KOSPI,3.237,1103,미원상사,화학,,0.59,0.0361,-18.3,-15.2,5.9,6.4,-3.0,-4.0,2.4,5.4,0,0,
137,003470,KOSPI,3.235,1103,유안타증권,,,0.91,0.0346,-40.0,32.2,3.3,12.8,0.8,3.6,-0.5,0.3,0,0,
138,259960,KOSPI,3.234,1103,크래프톤,출판·SW,OBSERVE,9.97,0.0333,-35.7,-30.3,-9.7,210.6,-134.1,-379.7,-37.4,-486.6,0,0,
139,009240,KOSPI,3.228,1103,한샘,도매,,0.9,0.0287,-25.7,-4.6,-6.5,21.3,-19.5,-55.6,17.3,85.7,0,0,
140,211050,KOSDAQ,3.228,1103,인카금융서비스,,,0.54,0.031,-35.0,-8.9,4.9,8.7,-1.1,14.5,3.4,-14.8,0,0,
141,095660,KOSDAQ,3.226,1103,네오위즈,출판·SW,OBSERVE,0.38,0.0265,-42.8,-17.4,-8.2,8.5,-0.1,-0.4,-5.6,-16.3,0,0,
142,136490,KOSPI,3.221,1103,선진,식료품,,0.27,0.0255,-17.2,-7.7,8.9,11.3,7.4,-0.1,2.8,7.1,0,0,
143,071320,KOSPI,3.211,1103,지역난방공사,전력·가스,,0.88,0.0262,-32.7,-18.3,17.4,13.0,-6.4,18.5,7.2,13.2,0,0,
144,003620,KOSPI,3.208,1103,KG모빌리티,자동차·부품,,0.55,0.0351,-38.5,-15.1,-5.5,12.6,-13.2,-40.0,-0.8,-1.9,0,0,CB 08/27
145,114090,KOSPI,3.207,1103,GKL,예술·스포츠,,0.58,0.0261,-46.0,-43.3,-0.8,11.0,-5.3,-20.1,7.7,16.2,0,0,
146,016610,KOSPI,3.205,1103,,,,0.42,0.0316,-43.1,7.1,9.2,5.4,-1.8,-3.3,8.3,20.2,0,0,
147,001340,KOSPI,3.199,1103,PKC,화학,,0.23,0.0366,-35.9,-14.8,-1.4,5.1,1.0,0.4,-0.0,0.1,0,0,
148,005440,KOSPI,3.18,1103,현대지에프홀딩스,금융(은행),,2.2,0.0395,-36.2,60.3,-1.8,24.9,-15.6,-112.1,8.9,28.6,0,0,
149,417310,KOSPI,3.179,1103,코람코더원리츠,,,0.1,0.0108,-0.2,86.3,2.9,19.0,4.4,3.9,-2.6,8.2,0,0,
150,032190,KOSDAQ,3.176,1103,다우데이타,도매,,0.77,0.0365,-34.0,21.8,6.4,11.9,9.5,25.3,-7.1,-13.4,0,0,
151,001500,KOSPI,3.176,1103,현대차증권,,,0.51,0.033,-40.6,1.5,3.3,7.7,-3.2,-5.2,-1.4,-12.6,0,0,
152,013030,KOSDAQ,3.173,1103,하이록코리아,철강·1차금속,,0.4,0.0315,-26.8,5.5,1.7,11.7,-9.1,-19.6,18.8,33.7,0,0,
153,003540,KOSPI,3.173,1103,대신증권,,,1.27,0.0313,-45.6,2.5,2.1,16.4,12.9,-7.3,-13.7,-19.3,0,0,
154,251270,KOSPI,3.169,1103,넷마블,출판·SW,WATCH,3.02,0.028,-46.6,-36.1,-11.2,48.3,-8.9,50.4,-17.1,-61.9,0,0,
155,042500,KOSDAQ,3.169,1103,링네트,IT서비스,,0.1,0.0212,-31.7,11.3,-0.8,5.6,-0.2,-1.0,0.1,0.4,0,0,
156,090430,KOSPI,3.169,1103,아모레퍼시픽,화학,,8.24,0.0371,-14.7,12.1,-0.7,385.7,-70.2,512.2,205.8,799.9,0,0,
157,005430,KOSPI,3.169,1103,한국공항,운수·물류,OBSERVE,0.25,0.0386,-14.3,42.8,-11.0,7.8,-0.4,-3.6,0.1,-3.7,0,0,
158,443060,KOSPI,3.152,1103,HD현대마린솔루션,연구개발,,9.5,0.0385,-24.4,-0.9,7.9,164.0,38.6,285.3,-32.5,-50.1,0,0,
159,180640,KOSPI,3.147,1103,한진칼,금융(은행),,9.94,0.0429,-13.9,12.4,25.2,114.2,-13.3,-63.1,47.4,69.1,0,0,
160,051900,KOSPI,3.145,1103,LG생활건강,화학,,4.39,0.0329,-12.1,8.7,-12.1,241.5,-18.0,278.7,-4.4,166.9,0,0,
161,163560,KOSPI,3.143,1103,동일고무벨트,고무·플라스틱,WATCH,0.08,0.0258,-29.0,-19.7,-2.8,5.2,-0.0,-0.5,0.0,-1.9,0,0,
162,272450,KOSPI,3.142,1103,진에어,운수·물류,,0.32,0.0329,-28.1,-36.9,14.9,5.5,1.1,0.6,2.2,7.1,0,0,
163,100700,KOSDAQ,3.141,1103,세운메디칼,제약·바이오,,0.11,0.0231,-19.4,-11.5,4.0,10.2,-1.4,-1.0,-1.1,-1.5,0,0,
164,001390,KOSPI,3.139,1103,KG케미칼,화학,,0.3,0.0321,-36.1,-7.8,-6.0,8.3,2.7,-15.7,-0.1,-1.0,0,0,
165,003090,KOSPI,3.138,1103,대웅,제약·바이오,,0.98,0.0313,-42.3,-18.5,-5.6,10.0,-2.4,-9.0,0.2,-0.6,0,0,
