rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
150,009970,KOSPI,2.154,1053,영원무역홀딩스,금융(은행),,2.16,0.0295,-33.2,25.7,-2.8,15.4,-9.2,-18.6,6.0,17.8,0,0,
151,001550,KOSPI,2.153,1053,조비,화학,WAIT,0.05,0.0343,-39.4,-12.4,-0.8,8.2,-0.2,3.6,0.0,0.0,0,0,
152,018670,KOSPI,2.151,1053,SK가스,도매,,2.27,0.0364,-15.7,-3.5,4.5,25.6,-12.7,-83.9,6.9,132.5,0,0,
153,237880,KOSDAQ,2.146,1053,클리오,화학,WAIT,0.22,0.0486,-17.7,-10.4,-4.2,10.8,1.3,9.8,-1.2,-0.5,0,0,
154,265520,KOSDAQ,2.14,1053,AP시스템,기계·장비,,0.29,0.0423,-37.2,7.3,0.6,6.9,2.7,-5.2,0.2,-3.9,0,0,
155,089860,KOSPI,2.138,1053,롯데렌탈,미분류,,1.79,0.0323,-4.2,57.5,6.6,54.4,-22.6,-75.1,9.0,19.5,0,0,
156,118990,KOSDAQ,2.137,1053,모트렉스,자동차·부품,,0.17,0.0421,-34.6,-39.0,23.8,8.0,-4.5,-15.7,16.9,40.6,0,0,
157,005250,KOSPI,2.135,1053,녹십자홀딩스,엔지니어링,OBSERVE,0.45,0.025,-44.1,-35.9,-6.8,9.8,-2.2,-22.4,-0.2,-2.7,0,0,
158,139130,KOSPI,2.134,1053,iM금융지주,,,2.88,0.0244,-16.0,25.8,6.3,72.4,-39.3,-91.8,30.1,201.1,0,0,
159,114090,KOSPI,2.127,1053,GKL,예술·스포츠,OBSERVE,0.56,0.0236,-48.6,-47.6,-2.7,8.6,-18.4,-18.7,-7.2,-4.4,0,0,
160,039130,KOSPI,2.126,1053,하나투어,사업지원,OBSERVE,0.47,0.0249,-42.3,-40.2,-5.1,11.1,-14.5,-23.6,-6.2,12.5,0,0,
161,004430,KOSPI,2.126,1053,송원산업,화학,,0.28,0.0344,-27.6,7.5,2.0,17.0,0.8,4.5,1.2,43.7,0,0,
162,012750,KOSPI,2.121,1053,에스원,사업지원,,3.21,0.0303,-10.2,-3.3,6.6,59.1,-42.3,-51.8,35.1,54.2,0,0,
