rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
123,005490,KOSPI,2.898,1076,1.111,465.0,POSCO홀딩스,철강·1차금속,26.63,0.0358,-37.2,-8.0,7.2,972.7,191.6,974.9,36.4,-62.9,0,0
124,023590,KOSPI,2.897,1076,1.236,356.0,다우기술,IT서비스,1.72,0.0333,-35.4,3.7,7.0,19.6,1.1,-20.8,3.7,11.0,0,0
125,017800,KOSPI,2.893,1076,1.074,503.0,현대엘리베이터,기계·장비,2.87,0.0245,-34.3,-15.8,5.6,74.1,69.0,151.3,-13.2,-141.3,0,0
126,194370,KOSPI,2.892,1076,1.493,149.0,제이에스코퍼레이션,가죽·신발,0.39,0.0337,-13.5,2.9,14.0,13.4,8.4,-1.6,3.9,3.9,0,0
127,010130,KOSPI,2.882,1076,1.258,342.0,고려아연,철강·1차금속,25.78,0.0447,-41.6,23.1,18.4,246.3,-364.5,-443.1,458.1,636.8,0,0
128,241770,KOSDAQ,2.881,1076,1.787,20.0,메카로,반도체·전자부품,0.38,0.0515,-22.5,177.8,2.9,6.9,1.1,1.9,0.5,0.2,0,0
129,003545,KOSPI,2.881,1076,1.284,321.0,대신증권우,,0.49,0.0179,-32.9,2.5,-2.2,13.5,7.5,-8.6,-0.2,-16.1,0,0
130,294870,KOSPI,2.88,1076,1.243,351.0,IPARK현대산업개발,건설,1.5,0.034,-6.8,-24.1,27.8,48.6,60.3,101.6,42.0,117.6,0,0
131,185750,KOSPI,2.88,1076,1.158,418.0,종근당,제약·바이오,0.97,0.0208,-27.7,-16.6,0.6,13.7,1.8,-6.9,3.0,28.8,0,0
132,375500,KOSPI,2.869,1076,1.515,135.0,DL이앤씨,건설,2.82,0.0553,-28.9,32.8,15.2,200.8,87.9,449.1,189.3,192.7,0,0
133,079550,KOSPI,2.868,1076,1.545,120.0,LIG디펜스앤에어로스페이스,금속가공,18.11,0.0637,-19.3,15.5,9.9,1127.3,163.7,1558.8,-144.8,112.3,0,0
134,000080,KOSPI,2.866,1076,1.129,449.0,하이트진로,음료,1.1,0.0207,-22.8,-23.6,4.5,19.2,27.2,73.1,1.7,16.3,0,0
135,025540,KOSPI,2.858,1076,1.296,311.0,한국단자,전기장비,0.65,0.0303,-30.2,0.3,-3.8,10.8,1.1,18.1,-3.1,-26.4,0,0
136,034730,KOSPI,2.857,1076,1.543,122.0,SK,금융(은행),37.19,0.0657,-40.2,200.5,-21.9,1276.3,643.4,596.3,-607.1,-51.5,0,0
137,028260,KOSPI,2.857,1076,1.553,115.0,삼성물산,도매,54.49,0.067,-37.2,126.0,-14.2,1854.7,1113.4,1864.6,-972.4,-515.3,0,0
138,002380,KOSPI,2.856,1076,1.366,231.0,KCC,화학,3.79,0.0475,-35.1,20.1,-2.8,97.6,50.7,53.0,-18.6,27.6,0,0
139,010120,KOSPI,2.853,1076,1.648,72.0,LS ELECTRIC,전기장비,31.28,0.0742,-34.5,224.3,3.0,1706.4,111.3,353.3,317.6,64.0,0,0
140,005180,KOSPI,2.852,1076,1.205,374.0,빙그레,식료품,0.64,0.0211,-20.4,-19.3,4.7,16.1,20.6,65.2,4.8,8.1,0,0
141,094840,KOSDAQ,2.852,1076,1.833,13.0,슈프리마에이치큐,반도체·전자부품,0.15,0.0395,0.0,64.4,23.3,6.3,-0.4,17.4,0.0,4.5,0,0
142,462870,KOSPI,2.849,1076,1.162,415.0,시프트업,출판·SW,1.9,0.0321,-26.4,-16.9,-7.8,22.0,1.4,27.0,15.3,28.2,0,0
143,039490,KOSPI,2.848,1076,1.394,208.0,키움증권,,7.8,0.053,-40.0,49.6,-11.5,337.2,203.5,1185.5,-254.8,-1190.4,0,0
144,047050,KOSPI,2.847,1076,1.164,411.0,포스코인터내셔널,도매,9.97,0.0399,-35.1,-6.9,14.5,250.8,-113.0,-341.7,201.9,577.4,0,0
145,004800,KOSPI,2.845,1076,1.428,189.0,효성,금융(은행),2.71,0.0508,-41.4,85.0,3.9,43.1,-21.6,11.3,37.5,37.1,0,0
146,032830,KOSPI,2.841,1076,1.45,178.0,삼성생명,,56.1,0.0611,-43.6,161.8,-17.6,1357.7,254.5,1654.7,-521.4,-1335.1,0,0
147,128940,KOSPI,2.836,1076,1.465,166.0,한미약품,제약·바이오,5.22,0.0569,-34.9,45.0,4.8,331.6,-120.1,681.8,309.6,-135.6,0,0
148,034310,KOSPI,2.834,1076,1.264,337.0,NICE,엔지니어링,0.47,0.0219,-17.8,-16.7,9.2,6.8,-6.3,-17.2,7.8,40.4,0,0
149,298040,KOSPI,2.832,1076,1.562,108.0,효성중공업,전기장비,27.36,0.0682,-36.2,115.4,0.3,1438.3,-933.0,636.9,899.7,-553.7,0,0
150,069260,KOSPI,2.831,1076,1.3,306.0,TKG휴켐스,화학,0.66,0.0333,-23.6,-8.5,4.9,10.3,1.0,-24.4,3.1,8.8,0,0
