inv,w,norm,uni,h,n,ic,lo,hi,pos
person,5,none,대형30%,10,65,0.028825655849319762,-0.001621434443693931,0.07720390117585177,0.6153846153846154
person,5,none,대형30%,20,55,0.00830304842092799,-0.04258766260299089,0.062008039858371666,0.4
person,5,none,중소형,5,60,0.002516136571454902,-0.03962898004015887,0.04065824923451428,0.5166666666666667
person,5,none,중소형,10,55,0.010900243471471959,-0.04545934233355611,0.06702868012391675,0.5272727272727272
person,5,none,중소형,20,45,0.019322512429516103,-0.04312604585445949,0.06871550784356156,0.5555555555555556
person,20,amt,전체,5,70,0.017470282487825162,-0.032235674775365,0.06975734492586295,0.6428571428571429
person,20,amt,전체,10,65,0.01727616375388527,-0.027353000938212357,0.07251151390057654,0.6615384615384615
person,20,amt,전체,20,55,0.01720545097563689,-0.01815432242416463,0.04712353093416877,0.6363636363636364
person,20,amt,대형30%,5,70,-0.005374179665660792,-0.05529226158073079,0.050433802992915173,0.4
person,20,amt,대형30%,10,65,-0.02016474129512783,-0.05731161131546107,0.03821543844521447,0.2923076923076923
person,20,amt,대형30%,20,55,-0.023883429451372486,-0.06145842493914199,0.018299695441836936,0.2727272727272727
person,20,amt,중소형,5,60,0.02398391428952496,-0.035508557321198654,0.07647120676968013,0.6666666666666666
person,20,amt,중소형,10,55,0.03342741489372753,-0.02905116282450528,0.09318029326815927,0.6181818181818182
person,20,amt,중소형,20,45,0.03799010884052472,-0.015640349622876908,0.07989436153844845,0.6666666666666666
person,20,mcap,전체,5,70,0.010851938424132807,-0.025780758594347315,0.048117602433134565,0.5857142857142857
person,20,mcap,전체,10,65,0.009333778450787178,-0.027444000597986514,0.04871703167516236,0.5846153846153846
person,20,mcap,전체,20,55,0.00035121567445944125,-0.03539238846952069,0.031110770965174273,0.5272727272727272
person,20,mcap,대형30%,5,70,0.003417153859783895,-0.022230054120283716,0.03037128071680896,0.5285714285714286
person,20,mcap,대형30%,10,65,-0.013984461718003797,-0.037052331729007966,0.010398511824058284,0.4
person,20,mcap,대형30%,20,55,-0.03157794923126246,-0.06289310326843661,0.0012188302537400008,0.34545454545454546
person,20,mcap,중소형,5,60,0.009296168269100758,-0.03807969264200354,0.047861165884316506,0.65
person,20,mcap,중소형,10,55,0.019770869844678428,-0.03142763261932963,0.06784987423279841,0.6181818181818182
person,20,mcap,중소형,20,45,0.019944941724415757,-0.03567531322904341,0.059004364905609806,0.6666666666666666
person,20,none,전체,5,70,0.006993304454013912,-0.03531647448342036,0.055275320799393936,0.5142857142857142
person,20,none,전체,10,65,0.0013572849089674025,-0.03632872679552806,0.04780961428536197,0.49230769230769234
person,20,none,전체,20,55,-0.0005693348997281914,-0.028728657166158234,0.023940932275422783,0.45454545454545453
person,20,none,대형30%,5,70,-0.002611362785834455,-0.036471789310347155,0.03779662040612656,0.4
person,20,none,대형30%,10,65,-0.020095882338410948,-0.046115816875946715,0.015592443228002312,0.23076923076923078
person,20,none,대형30%,20,55,-0.027831685202653743,-0.054223003762974495,0.0006711711767954761,0.21818181818181817
person,20,none,중소형,5,60,0.010404674953513006,-0.041700386860032225,0.05634801564139232,0.5333333333333333
person,20,none,중소형,10,55,0.01895246002934436,-0.03758139834654402,0.07059013956098667,0.5818181818181818
person,20,none,중소형,20,45,0.021143704760123,-0.03206317448325821,0.06137249963289288,0.6222222222222222
person,60,amt,전체,5,70,0.018321208710203003,0.0035370092158163104,0.03306735923266157,0.7142857142857143
person,60,amt,전체,10,65,0.02401147690353435,0.009620808590959918,0.037361543608291733,0.8
person,60,amt,전체,20,55,0.025786421681677656,0.010942636201900353,0.0378790565622478,0.7636363636363637
person,60,amt,대형30%,5,70,0.013771679934723205,-0.010800719089412403,0.041002693550491534,0.5428571428571428
