combo,h,cut,n,ic,lo,hi,pos
upratio63,60,regime_반등,48,0.07104852732174598,0.025105526619398678,0.11542090007534543,0.75
upratio63,60,regime_약세,188,0.054150889180671395,0.038822220000469684,0.07515789064221803,0.7925531914893617
upratio63,60,top50_excess,29,0.09331230675839529,0.0678878199731074,0.119449617912822,0.8709677419354839
nh252+mom12,5,all_monthly,31,0.028224187788235766,-0.007210258886431196,0.06133957819993642,0.6129032258064516
nh252+mom12,5,year_2024,12,0.0026794040234976433,-0.06728621837758134,0.07417296218991797,0.4166666666666667
nh252+mom12,5,year_2025,12,0.03655910758729209,0.003885951780372265,0.06912321473330597,0.75
nh252+mom12,5,year_2026,7,0.05772681172940455,0.008183670958315039,0.10948548045737617,0.7142857142857143
nh252+mom12,5,regime_강세,297,0.04605389594009891,0.02050965314167359,0.07181439605315947,0.6094276094276094
nh252+mom12,5,regime_조정,56,0.031518992376712275,0.0014293897551795193,0.057526437304207055,0.6607142857142857
nh252+mom12,5,regime_반등,60,0.058938988423858744,0.020045559441432367,0.10251241339371409,0.6333333333333333
nh252+mom12,5,regime_약세,231,-0.0018903905959031645,-0.03513143922300625,0.03097107717172172,0.5064935064935064
nh252+mom12,5,top50_excess,31,0.016116131720610737,0.005570624697917554,0.026887309632675542,0.7096774193548387
nh252+mom12,20,all_monthly,30,0.03364510962103245,-0.0005833938495144977,0.0662396359398042,0.6333333333333333
nh252+mom12,20,year_2024,12,0.027699765151682803,-0.030577181654750527,0.08133870034208557,0.5
nh252+mom12,20,year_2025,12,0.04523460528101595,0.010140251464835126,0.07860789058709093,0.75
nh252+mom12,20,year_2026,6,0.022356807239764746,-0.07577617206148113,0.11718427907291593,0.6666666666666666
nh252+mom12,20,regime_강세,297,0.06662492153300474,0.03960722821804017,0.08911826578334042,0.7407407407407407
nh252+mom12,20,regime_조정,56,0.07159627694317447,0.039795131509844345,0.11280667266016955,0.7857142857142857
nh252+mom12,20,regime_반등,48,0.0680335154685766,0.031023270737185412,0.10982221416539183,0.7708333333333334
nh252+mom12,20,regime_약세,228,0.01622076591515348,-0.013330234711465173,0.0485366500849322,0.5570175438596491
nh252+mom12,20,top50_excess,30,0.03158617293234257,0.010988099106628681,0.05015897495378102,0.6451612903225806
nh252+mom12,60,all_monthly,29,0.08482884140409538,0.049376152918217175,0.11874961604570038,0.7586206896551724
nh252+mom12,60,year_2024,12,0.07582857691222324,0.027523483153729853,0.12367222245772985,0.75
nh252+mom12,60,year_2025,12,0.10044826394491686,0.044518399581743404,0.15273445029123872,0.8333333333333334
nh252+mom12,60,year_2026,5,0.06894286208661701,-0.04881281107215076,0.18669853524538477,0.6
nh252+mom12,60,regime_강세,297,0.10149866690700644,0.0751153834136144,0.12622723498263144,0.8316498316498316
nh252+mom12,60,regime_조정,56,0.11180602352580074,0.08642864414427735,0.15081852141447943,0.9285714285714286
nh252+mom12,60,regime_반등,48,0.08978475492291205,0.04623226629742784,0.12648335817788856,0.8125
nh252+mom12,60,regime_약세,188,0.07720532201718347,0.054199453772962626,0.10584671424220073,0.7925531914893617
nh252+mom12,60,top50_excess,29,0.10186864373417773,0.06700759904642199,0.13552038070188735,0.8387096774193549
lv60+nh252,5,all_monthly,31,0.07364266811646629,0.01518480051017635,0.12823956463814032,0.6774193548387096
lv60+nh252,5,year_2024,12,0.06275326092387663,-0.02936675896162673,0.15420485527619612,0.5
lv60+nh252,5,year_2025,12,0.11183118265795328,0.06030645055356483,0.16497392258239335,0.8333333333333334
lv60+nh252,5,year_2026,7,0.026844198375499388,-0.13204480703820726,0.1729488818051193,0.7142857142857143
lv60+nh252,5,regime_강세,297,0.10929980355064554,0.08812531083237818,0.13641544476266243,0.8585858585858586
lv60+nh252,5,regime_조정,56,0.11235187081403326,0.04799064733580608,0.1553544459623035,0.8392857142857143
lv60+nh252,5,regime_반등,60,0.11313885983599042,0.07103598751703248,0.16271435061074865,0.8166666666666667
lv60+nh252,5,regime_약세,231,0.07295633835027035,0.024760010867388497,0.12173771925459391,0.670995670995671
lv60+nh252,5,top50_excess,31,0.007977468983580007,0.0008719840679270328,0.014193181273683842,0.7419354838709677
lv60+nh252,20,all_monthly,30,0.132789426436863,0.07827343002446657,0.19442623963041494,0.7666666666666667
lv60+nh252,20,year_2024,12,0.11531184231067516,0.015598938050546421,0.20519621416272688,0.75
lv60+nh252,20,year_2025,12,0.11888586001377276,0.05701813248307714,0.1796998203976225,0.8333333333333334
lv60+nh252,20,year_2026,6,0.19555172753541905,0.026283592530498168,0.3643448446383976,0.6666666666666666
lv60+nh252,20,regime_강세,297,0.15814444896050572,0.13017501740731846,0.18359035163681167,0.8956228956228957
lv60+nh252,20,regime_조정,56,0.13295934903386272,0.07508508335592455,0.1786453862454787,0.875
lv60+nh252,20,regime_반등,48,0.1479234195621709,0.09153187596406634,0.21684411834799722,0.8541666666666666
lv60+nh252,20,regime_약세,228,0.11879197972796435,0.06980479460156122,0.17243828006124817,0.75
lv60+nh252,20,top50_excess,30,0.030923441858721954,0.015405265841921166,0.04768594940789597,0.7419354838709677
lv60+nh252,60,all_monthly,29,0.19511208418811188,0.15703614365629945,0.2308820211016356,0.9310344827586207
lv60+nh252,60,year_2024,12,0.1665539975869741,0.09961199978661218,0.22878698688428759,0.8333333333333334
lv60+nh252,60,year_2025,12,0.18361860954418482,0.14171547308337834,0.22742287166741762,1.0
lv60+nh252,60,year_2026,5,0.29123583117626783,0.21681568170385646,0.3454911188169395,1.0
lv60+nh252,60,regime_강세,297,0.19985649460837504,0.1762019636052854,0.22150156200705706,0.9831649831649831
lv60+nh252,60,regime_조정,56,0.2460621259606684,0.2017528799153729,0.2808802842746405,1.0
