factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
lv_ratio,60,-0.02885883708299334,-0.04539907478115585,-0.008126273376588304,589,0.3633276740237691,-0.02939151764429361,-0.004566648417283616,-0.04755584664279148,-0.03047958165588299,-0.021300842928398817,-0.03817857480166723,-0.024866352090779583,-0.04067632813336107,-0.019396440697251986,True,
sma60gap,5,-0.033981658414101105,-0.053213390994441785,-0.016844941214555105,644,0.38664596273291924,-0.02170726896843062,-0.044856560564692,-0.011995426742111686,-0.05283738588271759,-0.04307004720601843,-0.03629369400866981,-0.01640520601464884,-0.03839639166182156,-0.03860310892603466,True,
sma60gap,20,-0.04269531661607833,-0.061182025337720276,-0.013840029130528385,629,0.35771065182829886,-0.032286427311327644,-0.028344579545804317,-0.022901297945212135,-0.06394616878997256,-0.058317641271296065,-0.03602415229815809,-0.027328705071068375,-0.04466881425374535,-0.049120239111776196,True,-0.10419320334074295
sma60gap,40,-0.03182759270769386,-0.05779616062035087,-0.002861873623049909,609,0.3973727422003284,-0.028205739261319376,-0.0052414907388220145,-0.038789470212735315,-0.042550391090328724,-0.05064255530605242,-0.02091714109211747,-0.01596969365866941,-0.034439447132849646,-0.038399284489133934,True,
sma60gap,60,-0.01390593905158154,-0.047593664656870364,0.03317517417029747,589,0.4567062818336163,-0.004624043054851838,0.0027022078373014737,-0.04075232071638595,-0.02666207212017494,-0.040824563498350945,0.014667105312967171,-0.017270331005067488,-0.010694131610329779,-0.02463658200027726,False,
sma120gap,5,-0.027132678459396323,-0.045277612621758494,-0.010159510928260557,644,0.4611801242236025,-0.010452475403933284,-0.03994749713891767,0.005905606175806399,-0.05405340373875345,-0.03403305500801929,-0.0279052991052342,-0.0152930197622016,-0.02954065425121576,-0.03458304005946074,False,
sma120gap,20,-0.032076765724476465,-0.05273318736299585,-0.005045061809420925,629,0.424483306836248,-0.01817077191976482,-0.0045743659838411626,-0.014883625344997839,-0.06056573626697605,-0.045069326711936135,-0.019377778192175385,-0.03139823496836945,-0.03051165234841061,-0.04405429349539082,True,-0.10493924784029354
sma120gap,40,-0.02388500415201256,-0.049927566920677985,0.012352067680132183,609,0.458128078817734,-0.011733899823554916,0.01079456397102132,-0.026403095179753738,-0.04999108795542718,-0.04302837475524275,-0.003548550556706126,-0.02592109637051655,-0.021617360818810123,-0.03698660265746553,False,
sma120gap,60,-0.012578564388556554,-0.04559781310489276,0.0435698751715143,589,0.4855687606112054,0.004348498248111194,0.004347548911051354,-0.036043156968765123,-0.038370583026952045,-0.043027404066498,0.023378517910039354,-0.024929021037512843,-0.0012920711963260536,-0.03087957538680147,False,
range_pos60,5,-0.022560580093380255,-0.03873680620937217,-0.007409270532907833,644,0.4192546583850932,0.0017902166484777696,-0.03492139996119622,0.0040047106010265305,-0.05777226044575492,-0.03445688476010622,-0.013481059561634657,-0.01809567901743911,-0.022684927947091774,-0.02997346214031514,False,
