factor,h,cut,n,ic,lo,hi,pos
mom12_1,5,regime_반등,43,0.0471540698875521,0.0022892540706396145,0.10128739757185115,0.5813953488372093
mom12_1,5,regime_약세,188,-0.00476111047714446,-0.04357112825646856,0.03129765978045451,0.4946808510638298
mom12_1,5,mkt_KOSPI,25,0.0345479765187143,-0.011444103126732693,0.08190363793658235,0.52
mom12_1,5,mkt_KOSDAQ,25,0.03936852743973753,0.0067486006820243446,0.07444185394762502,0.72
mom12_1,20,all_monthly,24,0.01818634013471174,-0.01624277833756933,0.05200345374634974,0.5416666666666666
mom12_1,20,all_daily_block5,504,0.025196116280219397,0.0032012422940426504,0.04655519434740062,0.6547619047619048
mom12_1,20,year_2024,6,0.014151119776348498,-0.01699315102890048,0.045029716952638146,0.6666666666666666
mom12_1,20,year_2025,12,0.03811047231422122,-0.00408787642733753,0.08120773064408707,0.5
mom12_1,20,year_2026,6,-0.017626703865943977,-0.11320170946101747,0.08289096823529932,0.5
mom12_1,20,regime_강세,246,0.03520653428456153,0.009791508788287556,0.059861096686792944,0.6178861788617886
mom12_1,20,regime_조정,42,0.0535944921378149,0.021718628731692426,0.09680554013856638,0.7142857142857143
mom12_1,20,regime_반등,31,0.05961168865436852,0.034606253649621437,0.08494899751309688,0.9032258064516129
mom12_1,20,regime_약세,185,-0.000329166739703842,-0.0490100780667419,0.04201692862958366,0.6486486486486487
mom12_1,20,mkt_KOSPI,24,0.02371748992887776,-0.022124914606812967,0.07146955315162351,0.5
mom12_1,20,mkt_KOSDAQ,24,-0.00193441831137732,-0.03746557354488476,0.031303331514938054,0.375
mom12_1,60,all_monthly,23,0.050199710963858425,0.0038573065512840306,0.0888646552674292,0.7391304347826086
mom12_1,60,all_daily_block5,464,0.051712187291299234,0.0358630690156269,0.07219843240564143,0.7586206896551724
mom12_1,60,year_2024,6,0.06905607442392227,0.0344199806207947,0.11532266467346665,1.0
mom12_1,60,year_2025,12,0.061696043459815296,0.0063538681700908714,0.11549926061325325,0.6666666666666666
mom12_1,60,year_2026,5,-1.9123178514640627e-05,-0.1484550260090973,0.13218848516671686,0.6
mom12_1,60,regime_강세,246,0.05217817082229532,0.026748892385947024,0.08326883993140106,0.6747967479674797
mom12_1,60,regime_조정,42,0.04338190790600598,0.01441128681880539,0.09182041546190325,0.7619047619047619
mom12_1,60,regime_반등,31,0.060049384718264626,0.0313598973631335,0.08924594521758276,0.8387096774193549
