basket,k,cut,cost_rt,n,ret_per20d,lo,hi,excess_per20d,ew_per20d,win
과매도프록시top20(RSI최저),10,강세,0.0,297,-0.017781461554272134,-0.04171898399434426,0.01586552505677546,-0.015831489142166442,-0.0019499724121056863,0.44107744107744107
과매도프록시top20(RSI최저),10,강세,0.005,297,-0.027781461554272135,-0.05171898399434426,0.0058655250567754644,-0.015831489142166442,-0.0019499724121056863,0.44107744107744107
과매도프록시top20(RSI최저),10,강세,0.008,297,-0.033781461554272134,-0.05771898399434426,-0.00013447494322453682,-0.015831489142166442,-0.0019499724121056863,0.44107744107744107
과매도프록시top20(RSI최저),10,조정,0.0,56,0.0003048605438589599,-0.052465485907171865,0.06148387668602905,-0.016562519765005574,0.016867380308864536,0.5178571428571429
과매도프록시top20(RSI최저),10,조정,0.005,56,-0.009695139456141038,-0.06246548590717187,0.05148387668602905,-0.016562519765005574,0.016867380308864536,0.5178571428571429
과매도프록시top20(RSI최저),10,조정,0.008,56,-0.015695139456141042,-0.06846548590717186,0.04548387668602905,-0.016562519765005574,0.016867380308864536,0.5178571428571429
과매도프록시top20(RSI최저),10,반등,0.0,55,0.011540195336960416,-0.02851055416093652,0.044677058816966174,0.00895393762584035,0.0025862577111200676,0.6
과매도프록시top20(RSI최저),10,반등,0.005,55,0.0015401953369604195,-0.03851055416093651,0.03467705881696619,0.00895393762584035,0.0025862577111200676,0.6
과매도프록시top20(RSI최저),10,반등,0.008,55,-0.00445980466303958,-0.044510554160936515,0.02867705881696618,0.00895393762584035,0.0025862577111200676,0.6
과매도프록시top20(RSI최저),10,약세,0.0,231,0.013868677876622416,-0.0394227830609133,0.052034395777495426,0.015764797659014434,-0.0018961197823920211,0.5324675324675324
과매도프록시top20(RSI최저),10,약세,0.005,231,0.003868677876622413,-0.04942278306091329,0.04203439577749542,0.015764797659014434,-0.0018961197823920211,0.5324675324675324
과매도프록시top20(RSI최저),10,약세,0.008,231,-0.002131322123377587,-0.0554227830609133,0.036034395777495426,0.015764797659014434,-0.0018961197823920211,0.5324675324675324
과매도프록시top20(RSI최저),20,전체,0.0,629,-0.0021600751891453435,-0.027152858597019672,0.01611866498441116,-0.0030146636048393976,0.0008545884156940519,0.48966613672496023
과매도프록시top20(RSI최저),20,전체,0.005,629,-0.007160075189145346,-0.032152858597019676,0.011118664984411162,-0.0030146636048393976,0.0008545884156940519,0.48966613672496023
과매도프록시top20(RSI최저),20,전체,0.008,629,-0.010160075189145345,-0.03515285859701967,0.008118664984411163,-0.0030146636048393976,0.0008545884156940519,0.48966613672496023
과매도프록시top20(RSI최저),20,강세,0.0,297,-0.011695278763995605,-0.03425496326203109,0.020376453179030377,-0.013423639350530961,0.0017283605865353567,0.4377104377104377
과매도프록시top20(RSI최저),20,강세,0.005,297,-0.016695278763995607,-0.03925496326203109,0.015376453179030379,-0.013423639350530961,0.0017283605865353567,0.4377104377104377
과매도프록시top20(RSI최저),20,강세,0.008,297,-0.019695278763995603,-0.042254963262031084,0.012376453179030376,-0.013423639350530961,0.0017283605865353567,0.4377104377104377
과매도프록시top20(RSI최저),20,조정,0.0,56,-0.0020629144483069383,-0.035123537887308987,0.05072780662954639,-0.013890907173241965,0.011827992724935026,0.5535714285714286
과매도프록시top20(RSI최저),20,조정,0.005,56,-0.0070629144483069384,-0.04012353788730899,0.04572780662954639,-0.013890907173241965,0.011827992724935026,0.5535714285714286
과매도프록시top20(RSI최저),20,조정,0.008,56,-0.01006291444830694,-0.04312353788730899,0.042727806629546394,-0.013890907173241965,0.011827992724935026,0.5535714285714286
과매도프록시top20(RSI최저),20,반등,0.0,48,-0.002305836424927276,-0.040042899723290365,0.01691437269005441,-0.0013081957785638313,-0.0009976406463634445,0.4375
과매도프록시top20(RSI최저),20,반등,0.005,48,-0.007305836424927277,-0.04504289972329037,0.011914372690054412,-0.0013081957785638313,-0.0009976406463634445,0.4375
과매도프록시top20(RSI최저),20,반등,0.008,48,-0.010305836424927278,-0.04804289972329037,0.008914372690054413,-0.0013081957785638313,-0.0009976406463634445,0.4375
과매도프록시top20(RSI최저),20,약세,0.0,228,0.010267604633491093,-0.03445837930051316,0.033719898933262334,0.012856498590948806,-0.002588893957457713,0.5526315789473685
과매도프록시top20(RSI최저),20,약세,0.005,228,0.0052676046334910916,-0.039458379300513165,0.02871989893326234,0.012856498590948806,-0.002588893957457713,0.5526315789473685
과매도프록시top20(RSI최저),20,약세,0.008,228,0.002267604633491093,-0.04245837930051316,0.02571989893326234,0.012856498590948806,-0.002588893957457713,0.5526315789473685
과매도프록시top20(RSI최저),40,전체,0.0,609,-0.009173868574288825,-0.02911311787721295,0.009827569399873975,-0.008855272865100104,-0.00031859570918872133,0.39901477832512317
과매도프록시top20(RSI최저),40,전체,0.005,609,-0.011673868574288825,-0.03161311787721295,0.007327569399873976,-0.008855272865100104,-0.00031859570918872133,0.39901477832512317
과매도프록시top20(RSI최저),40,전체,0.008,609,-0.013173868574288827,-0.033113117877212946,0.005827569399873977,-0.008855272865100104,-0.00031859570918872133,0.39901477832512317
과매도프록시top20(RSI최저),40,강세,0.0,297,-0.01621093999619721,-0.02959937769549624,0.004806174851992381,-0.018892637630798775,0.002681697634601567,0.32323232323232326
과매도프록시top20(RSI최저),40,강세,0.005,297,-0.018710939996197207,-0.032099377695496235,0.002306174851992381,-0.018892637630798775,0.002681697634601567,0.32323232323232326
과매도프록시top20(RSI최저),40,강세,0.008,297,-0.020210939996197205,-0.03359937769549624,0.0008061748519923795,-0.018892637630798775,0.002681697634601567,0.32323232323232326
과매도프록시top20(RSI최저),40,조정,0.0,56,-0.010680009822944137,-0.0225874549509764,0.03132185977316943,-0.019851689445709125,0.009171679622764991,0.42857142857142855
과매도프록시top20(RSI최저),40,조정,0.005,56,-0.01318000982294414,-0.025087454950976404,0.02882185977316943,-0.019851689445709125,0.009171679622764991,0.42857142857142855
과매도프록시top20(RSI최저),40,조정,0.008,56,-0.014680009822944139,-0.026587454950976402,0.02732185977316943,-0.019851689445709125,0.009171679622764991,0.42857142857142855
과매도프록시top20(RSI최저),40,반등,0.0,48,0.012110571111851506,-0.015501009553422233,0.035722180927377827,0.016308105691954736,-0.004197534580103235,0.5
과매도프록시top20(RSI최저),40,반등,0.005,48,0.009610571111851504,-0.01800100955342223,0.033222180927377824,0.016308105691954736,-0.004197534580103235,0.5
