cut,key,metric,n,mean,lo,hi,pos
type,paid_bonus_mix,pre20,25,-0.022880705200091226,-0.13269407174184364,0.14892405918983104,0.16
type,paid_bonus_mix,react,25,-0.08359806915925962,-0.15169219746911028,0.0047463827270101035,0.12
type,paid_bonus_mix,ex5,25,0.019419724783592232,-0.020570495896703192,0.055663244293208985,0.68
type,paid_bonus_mix,ex20,25,0.06902237740537925,-0.027808285226065512,0.1649221113984808,0.6
type,paid_bonus_mix,ex60,24,0.0980556586577347,-0.03513971756364831,0.23591477808403352,0.52
type,paid_bonus_mix,raw20,25,0.018391473562030435,-0.08169948848419567,0.11795702983425688,0.44
type,paid_bonus_mix,exm20,25,0.043801609200357,-0.05098651454176675,0.14032550899122506,0.44
type,paid_bonus_mix,exm60,24,0.05489521575997858,-0.0866704473347966,0.1969288037865601,0.44
type,paid_in,pre20,625,0.11312208802438622,0.09001045648847103,0.13808490347928573,0.608
type,paid_in,react,625,0.015284410190895418,0.0013938010687666196,0.028623077105422987,0.504
type,paid_in,ex5,620,0.019681457495173197,0.0063924473498885494,0.034662776712022364,0.4448
type,paid_in,ex20,612,0.020272122263898205,-0.0015781938971425713,0.04433072276609936,0.416
type,paid_in,ex60,582,-0.0020823785739309793,-0.039910195625513935,0.03512802761349084,0.3392
type,paid_in,raw20,612,-0.007198204348148673,-0.02992875269607147,0.017794369290776914,0.3616
type,paid_in,exm20,612,-0.004586615466159461,-0.026445187693032262,0.019760331830267007,0.3536
type,paid_in,exm60,582,-0.05494515745887871,-0.09249767107604115,-0.01754326609607729,0.2768
type,reduction,pre20,96,-0.024249865123024794,-0.06604392928454965,0.018157222295462013,0.4479166666666667
type,reduction,react,96,-0.05300306058209001,-0.0803086540963064,-0.02483343730404724,0.3333333333333333
type,reduction,ex5,96,0.018210860786343586,-0.0033797479273125295,0.043825040500288535,0.4583333333333333
type,reduction,ex20,96,0.017424659421404278,-0.01905136253798555,0.05673270038724674,0.4583333333333333
type,reduction,ex60,91,0.18835898516344926,0.0555053683056456,0.3569841456921443,0.4791666666666667
type,reduction,raw20,96,-0.023908675033388643,-0.06287577361716182,0.01263510341935931,0.3020833333333333
type,reduction,exm20,96,-0.013448798186097706,-0.04988423697468852,0.02594895883178572,0.375
type,reduction,exm60,91,0.12009783970309854,-0.010019778456389272,0.2899116601672167,0.34375
type_year,"('bonus', '2023')",pre20,29,0.15444048237654612,0.06040091295415641,0.25802007007747957,0.7586206896551724
type_year,"('bonus', '2023')",react,29,0.015660876158088647,-0.02498822733422168,0.054451581770780126,0.6896551724137931
type_year,"('bonus', '2023')",ex5,29,0.030552202958275137,-0.0072680026837688904,0.0700745348825657,0.6896551724137931
type_year,"('bonus', '2023')",ex20,29,0.06739589305446442,-0.02295194605137569,0.17414473627912733,0.4827586206896552
type_year,"('bonus', '2023')",ex60,29,0.0005487380869104029,-0.12832247315640805,0.144717105481012,0.41379310344827586
type_year,"('bonus', '2023')",raw20,29,0.060149776253186224,-0.040351544154908874,0.1745942974083753,0.5862068965517241
type_year,"('bonus', '2023')",exm20,29,0.050671264735887775,-0.03862062554770186,0.1560865452165711,0.4482758620689655
type_year,"('bonus', '2023')",exm60,29,-0.037430059873036735,-0.16526664633023713,0.10581814670357459,0.27586206896551724
type_year,"('bonus', '2024')",pre20,42,0.17241359713508034,0.09026854955554738,0.2680249549334476,0.8095238095238095
type_year,"('bonus', '2024')",react,42,0.04885295968974926,0.023313188918564397,0.0736046665749101,0.7380952380952381
type_year,"('bonus', '2024')",ex5,42,0.020650896277532554,-0.0033479347278155135,0.044034249325989885,0.7142857142857143
type_year,"('bonus', '2024')",ex20,42,0.050075520598619014,0.010210753801676058,0.08958460345552612,0.6904761904761905
type_year,"('bonus', '2024')",ex60,42,-0.009473532793446374,-0.07780468710456247,0.06025350973192448,0.47619047619047616
type_year,"('bonus', '2024')",raw20,42,0.018910048196019266,-0.02025117186289911,0.06032766799303581,0.5
type_year,"('bonus', '2024')",exm20,42,0.029925826071048402,-0.011093516289411465,0.07063282952135456,0.5714285714285714
type_year,"('bonus', '2024')",exm60,42,-0.05177286703145765,-0.11945372875309206,0.01844891529909783,0.38095238095238093
type_year,"('bonus', '2025')",pre20,32,0.17987315778509982,0.1069334769607266,0.25788062451483207,0.78125
type_year,"('bonus', '2025')",react,32,0.14485311623383723,0.10603180507843926,0.18596764731788132,0.90625
type_year,"('bonus', '2025')",ex5,32,0.07558345418643754,0.038484963661587414,0.11694355274490809,0.75
type_year,"('bonus', '2025')",ex20,32,0.12367496443163223,0.029742554478324724,0.22382618706288113,0.53125
type_year,"('bonus', '2025')",ex60,32,0.001030046460068778,-0.12268702264224444,0.12669952692246958,0.4375
type_year,"('bonus', '2025')",raw20,32,0.11425107358450584,0.0225666906002121,0.2116575816535419,0.59375
type_year,"('bonus', '2025')",exm20,32,0.09509905118169233,-0.0018481028552065472,0.1969163201332698,0.46875
