cagr,vol,sharpe,mdd,score,N,k,weight,cost
0.12936156389817044,0.14839360551886763,0.871746214709519,-0.19676074872891247,조용함v2(to20+hl+volvol),20,40,rank,0.0
0.094354104787983,0.14839360551886763,0.6358367293392995,-0.20497519216852766,조용함v2(to20+hl+volvol),20,40,rank,0.005
0.1132013991150258,0.14366136518429934,0.7879738506577795,-0.19476005527764495,조용함v2(to20+hl+volvol),20,40,invvol,0.0
0.07869301605560475,0.1436613651842993,0.5477674248372315,-0.20299465832660535,조용함v2(to20+hl+volvol),20,40,invvol,0.005
0.13886787310337967,0.15678144246031633,0.8857417748183376,-0.20330396246811921,조용함v2(to20+hl+volvol),40,20,equal,0.0
0.06935557669665737,0.15678144246031633,0.4423710842832198,-0.2195183675687331,조용함v2(to20+hl+volvol),40,20,equal,0.005
0.12884851404568898,0.15077624796810327,0.8545677172769739,-0.2008801364033297,조용함v2(to20+hl+volvol),40,20,rank,0.0
0.05994566984034888,0.15077624796810327,0.3975803261335326,-0.21714316162646075,조용함v2(to20+hl+volvol),40,20,rank,0.005
0.13017864662809453,0.14712183879102092,0.884835641654851,-0.18812123990883722,조용함v2(to20+hl+volvol),40,20,invvol,0.0
0.06119507116400591,0.14712183879102092,0.41594824851890544,-0.20497733475090119,조용함v2(to20+hl+volvol),40,20,invvol,0.005
0.14085359264633168,0.1597821938290396,0.8815349775272159,-0.21295975424795788,조용함v2(to20+hl+volvol),40,40,equal,0.0
0.1054910625565797,0.1597821938290396,0.6602178880423359,-0.22101063291134382,조용함v2(to20+hl+volvol),40,40,equal,0.005
0.13308848225208147,0.15358726713690804,0.8665333053517131,-0.21017050961259598,조용함v2(to20+hl+volvol),40,40,rank,0.0
0.09796584124931518,0.15358726713690804,0.6378513211123693,-0.21824950936190757,조용함v2(to20+hl+volvol),40,40,rank,0.005
0.1256884407336778,0.14997505878415993,0.8380622868404087,-0.19750950548418011,조용함v2(to20+hl+volvol),40,40,invvol,0.0
0.09079436223343373,0.14997505878415993,0.6053964103731577,-0.20575014898809818,조용함v2(to20+hl+volvol),40,40,invvol,0.005
