factor,universe,h,hyp,first_anchor,n_week,ic,lo,hi,pos,n_daily
fl_insu5n,조용함상위30%,5,1,20260529,12,-0.014769279668307335,-0.06860750174233912,0.04057821945692745,0.4166666666666667,60
fl_insu5n,조용함상위30%,10,1,20260529,11,-0.011091488550639787,-0.07007962745801113,0.04172448118647394,0.45454545454545453,55
fl_insu5n,조용함상위30%,20,1,20260529,9,-0.026314862052377926,-0.09510013489414113,0.04441127600267663,0.3333333333333333,45
fl_insu5n,과매도(RSI<40),5,1,20260529,10,-0.046124964487641106,-0.09664290881967613,0.0002298292034368921,0.3,51
fl_insu5n,과매도(RSI<40),10,1,20260529,9,-0.01710185473474078,-0.06903130237265964,0.0346981491807891,0.5555555555555556,46
fl_insu5n,과매도(RSI<40),20,1,20260529,9,0.01319023430277908,-0.04020439126760025,0.06448505039420793,0.6666666666666666,45
fl_insu20n,전체(가드),5,1,20260529,12,-0.02507655116615562,-0.06842606776298281,0.016814020756606773,0.5,60
fl_insu20n,전체(가드),10,1,20260529,11,-0.029429023676473154,-0.08659654330333307,0.014490351979518867,0.5454545454545454,55
fl_insu20n,전체(가드),20,1,20260529,9,-0.03495868506690247,-0.07550103801047137,0.004718276532475608,0.4444444444444444,45
fl_insu20n,대형(시총상위20%),5,1,20260529,12,0.0020760155742101725,-0.07794934113615429,0.07591613839736976,0.5,60
fl_insu20n,대형(시총상위20%),10,1,20260529,11,-0.006676041843967488,-0.11461467789219117,0.08435504187253631,0.5454545454545454,55
fl_insu20n,대형(시총상위20%),20,1,20260529,9,-0.07223252882898856,-0.16181375161017678,0.018603583812915776,0.3333333333333333,45
fl_insu20n,조용함상위30%,5,1,20260529,12,-0.019245830787686116,-0.08391301835403892,0.04389768337604088,0.4166666666666667,60
fl_insu20n,조용함상위30%,10,1,20260529,11,-0.0199106268096481,-0.0786334413307041,0.029268411086524025,0.45454545454545453,55
