name,date,net,benchmark,excess,kospi,n_filled,missing_exit
momentum_only,20260303,-0.15802999694028874,-0.04369672634490099,-0.11433327059538775,0.2,20,0
near_only,20240801,-0.01709462990679589,-0.05128468118766191,0.034190051280866024,0.6,19,0
near_only,20240902,-0.019195869112018038,-0.03788485991306789,0.018688990801049854,0.75,20,0
near_only,20241002,-0.15270974469299167,-0.09539924518352463,-0.05731049950946704,0.2,20,0
near_only,20241101,0.03743727189954615,-0.020707892677702913,0.05814516457724906,0.7,20,0
near_only,20241202,0.2620025481385594,0.11726032449726925,0.14474222364129014,0.75,20,0
near_only,20250102,0.07525173931508741,0.1522758078639192,-0.07702406854883179,0.35,20,0
near_only,20250203,0.009946254729803192,0.1846034645637749,-0.1746572098339717,0.35,20,0
near_only,20250304,0.10845826505885847,0.15016999284873903,-0.041711727789880554,0.45,20,0
near_only,20250401,-0.17957273788053651,0.2728545616023548,-0.4524272994828913,0.2,20,0
near_only,20250502,0.3924332288570092,0.5090562252370212,-0.116622996380012,0.65,20,0
near_only,20250602,-0.03662045532255486,0.3068042844877066,-0.34342473981026145,0.45,20,0
near_only,20250701,0.29603718219317604,0.3095259266538578,-0.013488744460681767,0.8,20,0
near_only,20250801,0.22108024402345985,0.5434911498105996,-0.3224109057871398,0.4,20,0
near_only,20250901,0.13382616878214298,0.58311786034628,-0.449291691564137,0.5,20,0
near_only,20251001,0.2125560079643864,0.30346372896856966,-0.09090772100418326,0.25,20,0
near_only,20251103,0.6275506299434445,0.428209677661145,0.19934095228229948,0.45,20,0
near_only,20251201,0.07737534999614361,0.5443473686987355,-0.46697201870259186,0.4,20,0
near_only,20260102,-0.3226933097093359,0.06730696990966935,-0.39000027961900524,0.2,20,0
near_only,20260202,-0.4067035640031759,-0.1939607260961481,-0.21274283790702783,0.3,20,0
near_only,20260303,-0.2868419413949571,0.13164555972416458,-0.4184875011191217,0.55,20,0
