name,family,date,year,h,net,excess,benchmark,slots,filled,win2x,loss30,top2_to_cash,missing_exit,kospi_weight,kosdaq_weight
base_R1_amount,baseline,20250304,2025,60,0.10768258553694296,0.07501697932458164,0.03266560621236132,20,20,0.0,0.05,0.03369111453061975,0,0.65,0.35
base_R1_amount,baseline,20250304,2025,120,0.2654405423230001,0.07915956411402383,0.18628097820897624,20,20,0.05,0.05,0.141088973243521,0,0.65,0.35
base_R1_amount,baseline,20250304,2025,180,0.47152751672185184,0.04611450978837506,0.4254130069334768,20,20,0.1,0.15,0.2890908407422633,0,0.65,0.35
base_R1_amount,baseline,20250401,2025,60,0.07341685336322365,-0.1069568120980737,0.18037366546129735,20,20,0.0,0.25,-0.03735698673265035,0,0.45,0.55
base_R1_amount,baseline,20250401,2025,120,0.1853385157000527,-0.12262308852727952,0.3079616042273322,20,20,0.05,0.35,-0.011366371004834015,0,0.45,0.55
base_R1_amount,baseline,20250401,2025,180,0.6010400378735063,0.12085305647184919,0.48018698140165716,20,20,0.1,0.4,0.026656563490031877,0,0.45,0.55
base_R1_amount,baseline,20250502,2025,60,0.45640774907930454,0.29441535895440646,0.16199239012489808,20,20,0.05,0.05,0.3439535366250921,0,0.65,0.35
base_R1_amount,baseline,20250502,2025,120,0.8416728156166238,0.33261659037960256,0.5090562252370212,20,20,0.2,0.0,0.6208966990777955,0,0.65,0.35
base_R1_amount,baseline,20250502,2025,180,0.9534164734389627,0.0709844159827594,0.8824320574562033,20,20,0.1,0.0,0.7442753320944316,0,0.65,0.35
base_R1_amount,baseline,20250602,2025,60,0.18385779732363666,0.07781546439977222,0.10604233292386445,20,20,0.0,0.05,0.09187947825732411,0,0.5,0.5
base_R1_amount,baseline,20250602,2025,120,0.726433452928953,0.4096012144512492,0.3168322384777038,20,20,0.2,0.25,0.4024088016740186,0,0.5,0.5
base_R1_amount,baseline,20250602,2025,180,1.1862162027227259,0.3828076702029277,0.8034085325197982,20,20,0.3,0.2,0.7926535119712846,0,0.5,0.5
base_R1_amount,baseline,20250701,2025,60,0.10738878034608557,-0.00778930289326521,0.11517808323935078,20,20,0.05,0.0,0.021258019207823203,0,0.65,0.35
base_R1_amount,baseline,20250701,2025,120,0.5991252867741835,0.3146742864592725,0.28445100031491105,20,20,0.1,0.1,0.22268546010326923,0,0.65,0.35
base_R1_amount,baseline,20250701,2025,180,1.0393761979871594,0.42849608832589814,0.6108801096612613,20,20,0.25,0.1,0.6738079590266863,0,0.65,0.35
base_R1_amount,baseline,20250801,2025,60,0.3735893340433633,0.1216144564340973,0.251974877609266,20,20,0.1,0.0,0.17719695002620403,0,0.55,0.45
base_R1_amount,baseline,20250801,2025,120,0.6441093388850399,0.07156285326444212,0.5725464856205977,20,20,0.15,0.1,0.3715862759896039,0,0.55,0.45
base_R1_amount,baseline,20250801,2025,180,0.8280238723324425,-0.009315549016944868,0.8373394213493873,20,20,0.1,0.1,0.5379353282007556,0,0.55,0.45
base_R1_amount,baseline,20250901,2025,60,0.5387218363712348,0.31542591072528725,0.22329592564594758,20,20,0.25,0.05,0.3766859893321574,0,0.6,0.4
base_R1_amount,baseline,20250901,2025,120,0.7247660150256979,0.10623616951192527,0.6185298455137727,20,20,0.1,0.0,0.5255755887644566,0,0.6,0.4
base_R1_amount,baseline,20250901,2025,180,1.115050851614337,-0.06650394068161103,1.181554792295948,20,20,0.2,0.0,0.7926204287234484,0,0.6,0.4
base_R1_amount,baseline,20251001,2025,60,0.6266911087405076,0.4686179881443227,0.1580731205961849,20,20,0.2,0.0,0.44019023259582585,0,0.25,0.75
base_R1_amount,baseline,20251001,2025,120,0.5687471436277379,0.26528341465916827,0.30346372896856966,20,20,0.1,0.05,0.35334921165749505,0,0.25,0.75
base_R1_amount,baseline,20251001,2025,180,0.8716893859170398,0.5395292350247636,0.3321601508922762,20,20,0.2,0.2,0.33129189948884025,0,0.25,0.75
base_R1_amount,baseline,20251103,2025,60,0.2492463345862305,-0.004776425635712983,0.2540227602219435,20,20,0.0,0.0,0.14468603345399716,0,0.5,0.5
base_R1_amount,baseline,20251103,2025,120,0.7614684919025169,0.31755139140104116,0.4439171005014757,20,20,0.15,0.0,0.399698530315037,0,0.5,0.5
base_R1_amount,baseline,20251103,2025,180,0.0005460267522905224,-0.025936674492048357,0.02648270124433888,20,20,0.1,0.5,-0.19096303866188438,0,0.5,0.5
base_R1_amount,baseline,20251201,2025,60,0.4080364335778657,0.1274475022309266,0.2805889313469391,20,20,0.05,0.0,0.2886412462020512,0,0.4,0.6
base_R1_amount,baseline,20251201,2025,120,0.7572068181617208,0.2128594494629853,0.5443473686987355,20,20,0.1,0.05,0.4275849340305043,0,0.4,0.6
base_R1_amount,baseline,20251201,2025,180,0.17989014442860712,-0.04168964432402955,0.22157978875263667,20,20,0.1,0.35,-0.03484077695652034,0,0.4,0.6
base_R1_amount,baseline,20260102,2026,60,0.2572712786331358,0.12722974515882096,0.13004153347431485,20,20,0.1,0.1,0.0542141732629758,0,0.2,0.8
base_R1_amount,baseline,20260102,2026,120,0.265210243999389,0.19790327408971964,0.06730696990966935,20,20,0.15,0.3,0.02480490580310247,0,0.2,0.8
base_R1_amount,baseline,20260202,2026,60,0.5653021901593498,0.38914501821876524,0.17615717194058456,20,20,0.1,0.05,0.279568172128039,0,0.35,0.65
base_R1_amount,baseline,20260202,2026,120,-0.028105925323149122,0.13890672893090292,-0.16701265425405204,20,20,0.05,0.5,-0.15860259507388091,0,0.35,0.65
base_R1_amount,baseline,20260303,2026,60,0.6103074298548298,0.04796760614382822,0.5623398237110016,20,20,0.1,0.1,0.43749377567152203,0,0.75,0.25
base_R1_amount,baseline,20260303,2026,120,0.17978210563990876,-0.05205904612372181,0.23184115176363057,20,20,0.05,0.2,0.06902925344044349,0,0.75,0.25
up_capture,market_response,20240801,2024,60,0.23768842139989252,0.27371934181409663,-0.0360309204142041,20,20,0.05,0.05,0.09976114153269508,0,0.4,0.6
up_capture,market_response,20240801,2024,120,0.309403695987668,0.36027875583820673,-0.05087505985053877,20,20,0.1,0.1,0.14502072627823778,0,0.4,0.6
up_capture,market_response,20240801,2024,180,0.4018161513710997,0.46063429825608637,-0.05881814688498663,20,20,0.25,0.15,0.19535603040920496,0,0.4,0.6
up_capture,market_response,20240902,2024,60,-0.06442199476170418,0.021117649181390488,-0.08553964394309467,20,20,0.0,0.15,-0.10294085127857355,0,0.7,0.3
up_capture,market_response,20240902,2024,120,-0.02161411295479269,0.016774316629873724,-0.038388429584666414,20,20,0.0,0.15,-0.09688172215984843,0,0.7,0.3
up_capture,market_response,20240902,2024,180,0.014048445102892443,-0.0376792066528967,0.051727651755789146,20,20,0.05,0.15,-0.0643931971994878,0,0.7,0.3
up_capture,market_response,20241002,2024,60,-0.08457284377899571,0.0001678496058012402,-0.08474069338479695,20,20,0.0,0.15,-0.12983508154123347,0,0.55,0.45
up_capture,market_response,20241002,2024,120,-0.13930296388023977,-0.0715082139603802,-0.06779474991985958,20,20,0.0,0.35,-0.19784302963323033,0,0.55,0.45
up_capture,market_response,20241002,2024,180,0.026929013696985988,-0.10430167521488924,0.13123068891187523,20,20,0.05,0.1,-0.06407855378624074,0,0.55,0.45
up_capture,market_response,20241101,2024,60,0.045985455670331084,0.07667924569474859,-0.0306937900244175,20,20,0.0,0.15,-0.021226467266782695,0,0.4,0.6
